method	n_cluster	seed	ari_value
Average-based	10	0	0.3911892361759718
Average-based	10	1	0.3911892361759718
Average-based	10	2	0.3564808606297279
Average-based	10	3	0.3928216568529066
Average-based	10	4	0.3943124935072897
Average-based	10	5	0.3932427235996341
Average-based	10	6	0.3928216568529066
Average-based	10	7	0.3932427235996341
Average-based	10	8	0.3928216568529066
Average-based	10	9	0.3911892361759718
Onehot-based	10	0	0.3802792554199738
Onehot-based	10	1	0.37899842416998025
Onehot-based	10	2	0.37648114076137296
Onehot-based	10	3	0.37647057617266333
Onehot-based	10	4	0.37775911499100545
Onehot-based	10	5	0.3790172180020861
Onehot-based	10	6	0.3769263970852886
Onehot-based	10	7	0.37653907176662094
Onehot-based	10	8	0.40002347175537817
Onehot-based	10	9	0.3810076320483088
wNMF-based	10	0	0.2178996139331621
wNMF-based	10	1	0.2194043798451104
wNMF-based	10	2	0.2198096559922758
wNMF-based	10	3	0.2214523144652087
wNMF-based	10	4	0.2218218966160538
wNMF-based	10	5	0.2216891423347184
wNMF-based	10	6	0.22118124051221638
wNMF-based	10	7	0.21711283661285294
wNMF-based	10	8	0.21729742150145512
wNMF-based	10	9	0.2179594815658324
Average-based	11	0	0.3818625297585943
Average-based	11	1	0.37828928847585425
Average-based	11	2	0.382522205574047
Average-based	11	3	0.3763348193013974
Average-based	11	4	0.37696655843803356
Average-based	11	5	0.38197431148749666
Average-based	11	6	0.37698100697926085
Average-based	11	7	0.3818625297585943
Average-based	11	8	0.37704120889993253
Average-based	11	9	0.37910989234378245
Onehot-based	11	0	0.37698462291128637
Onehot-based	11	1	0.3981637743905947
Onehot-based	11	2	0.3993886236367306
Onehot-based	11	3	0.3991016886617992
Onehot-based	11	4	0.39962148275596077
Onehot-based	11	5	0.40255428728140924
Onehot-based	11	6	0.3997196700278503
Onehot-based	11	7	0.3977571425750647
Onehot-based	11	8	0.4050044724688832
Onehot-based	11	9	0.4037241401648838
wNMF-based	11	0	0.2011903068919241
wNMF-based	11	1	0.20721323244542536
wNMF-based	11	2	0.21101823256059157
wNMF-based	11	3	0.21655079639188618
wNMF-based	11	4	0.20491257284688955
wNMF-based	11	5	0.20127564043443055
wNMF-based	11	6	0.20626059948797895
wNMF-based	11	7	0.19910927635763387
wNMF-based	11	8	0.20864979028545286
wNMF-based	11	9	0.2044997456253511
Average-based	12	0	0.39268561839591853
Average-based	12	1	0.3987864390082019
Average-based	12	2	0.3984477331555934
Average-based	12	3	0.3914679813905592
Average-based	12	4	0.39834813940224817
Average-based	12	5	0.40010678685921214
Average-based	12	6	0.40074237498206744
Average-based	12	7	0.3972406827065044
Average-based	12	8	0.40016350884885693
Average-based	12	9	0.3927911535809665
Onehot-based	12	0	0.3839975668790466
Onehot-based	12	1	0.3921477118947516
Onehot-based	12	2	0.4093967219945252
Onehot-based	12	3	0.3828318826687426
Onehot-based	12	4	0.40227875922779044
Onehot-based	12	5	0.39108970075568067
Onehot-based	12	6	0.39159608037599974
Onehot-based	12	7	0.40146434726337266
Onehot-based	12	8	0.3852787598732462
Onehot-based	12	9	0.413971032270396
wNMF-based	12	0	0.2216650540110809
wNMF-based	12	1	0.21594619105737478
wNMF-based	12	2	0.21361451863181127
wNMF-based	12	3	0.21853308915337477
wNMF-based	12	4	0.2188343795920015
wNMF-based	12	5	0.2169030229225587
wNMF-based	12	6	0.21835587709441084
wNMF-based	12	7	0.2136011795976243
wNMF-based	12	8	0.216476817740524
wNMF-based	12	9	0.22017582312552614
Average-based	13	0	0.36856242337947964
Average-based	13	1	0.37294032238326214
Average-based	13	2	0.3723955265328124
Average-based	13	3	0.3735107841384354
Average-based	13	4	0.3687998853623462
Average-based	13	5	0.38474624621695136
Average-based	13	6	0.3726389500301731
Average-based	13	7	0.38144915524568335
Average-based	13	8	0.37427777459763056
Average-based	13	9	0.3722548561128745
Onehot-based	13	0	0.3706026042189469
Onehot-based	13	1	0.3528206827841454
Onehot-based	13	2	0.3550310225292111
Onehot-based	13	3	0.3895229339957243
Onehot-based	13	4	0.36012767681361213
Onehot-based	13	5	0.38699268373594947
Onehot-based	13	6	0.3873487398066564
Onehot-based	13	7	0.35169366985954753
Onehot-based	13	8	0.37514442977890844
Onehot-based	13	9	0.3536873430284945
wNMF-based	13	0	0.1914246350836654
wNMF-based	13	1	0.2027562592069019
wNMF-based	13	2	0.2015421332290535
wNMF-based	13	3	0.19131938624987196
wNMF-based	13	4	0.1937470276243229
wNMF-based	13	5	0.2033915591750228
wNMF-based	13	6	0.20564753003751468
wNMF-based	13	7	0.18995660494349711
wNMF-based	13	8	0.1939831698141992
wNMF-based	13	9	0.20015446060744774
Average-based	14	0	0.37318081431095546
Average-based	14	1	0.37096508748455853
Average-based	14	2	0.34826926313114726
Average-based	14	3	0.34931621998398305
Average-based	14	4	0.3714395448857641
Average-based	14	5	0.3420933825918666
Average-based	14	6	0.37168316444629224
Average-based	14	7	0.34079222617156735
Average-based	14	8	0.3737651525781628
Average-based	14	9	0.37230685513469386
Onehot-based	14	0	0.35720463645393813
Onehot-based	14	1	0.3627362184674085
Onehot-based	14	2	0.39500033085494307
Onehot-based	14	3	0.3725149044866948
Onehot-based	14	4	0.3960008712608132
Onehot-based	14	5	0.395126436536827
Onehot-based	14	6	0.36452671445164864
Onehot-based	14	7	0.3991441578546435
Onehot-based	14	8	0.39142366245174753
Onehot-based	14	9	0.3903958285247859
wNMF-based	14	0	0.19757072420736416
wNMF-based	14	1	0.20956206175480252
wNMF-based	14	2	0.1943101654517913
wNMF-based	14	3	0.2008505228420294
wNMF-based	14	4	0.19657832141143705
wNMF-based	14	5	0.22066410447447435
wNMF-based	14	6	0.2030096764842178
wNMF-based	14	7	0.20451180178362527
wNMF-based	14	8	0.21504230936408208
wNMF-based	14	9	0.20276081407699292
Average-based	15	0	0.35290061462524247
Average-based	15	1	0.3884419967128768
Average-based	15	2	0.3848949205752191
Average-based	15	3	0.3503853801712067
Average-based	15	4	0.34277415780346376
Average-based	15	5	0.3450880674975251
Average-based	15	6	0.37519087788010264
Average-based	15	7	0.38674055263861834
Average-based	15	8	0.34932398391517294
Average-based	15	9	0.3535014635561962
Onehot-based	15	0	0.3473787885732582
Onehot-based	15	1	0.348880711269087
Onehot-based	15	2	0.3354680927949934
Onehot-based	15	3	0.32962297289630077
Onehot-based	15	4	0.39978355795004256
Onehot-based	15	5	0.34702926501379994
Onehot-based	15	6	0.40129182491721327
Onehot-based	15	7	0.3612632592071603
Onehot-based	15	8	0.3547893460225859
Onehot-based	15	9	0.3345517181884924
wNMF-based	15	0	0.21284091082409276
wNMF-based	15	1	0.1878071468016847
wNMF-based	15	2	0.18566914850288518
wNMF-based	15	3	0.2015362014367749
wNMF-based	15	4	0.2114468121638789
wNMF-based	15	5	0.19649441541835186
wNMF-based	15	6	0.2165383102830755
wNMF-based	15	7	0.21271300199607587
wNMF-based	15	8	0.19140064835494186
wNMF-based	15	9	0.1917144352116969
Average-based	16	0	0.33075456670285064
Average-based	16	1	0.32727203864977134
Average-based	16	2	0.32586030056278703
Average-based	16	3	0.3216402197347943
Average-based	16	4	0.3478040228667048
Average-based	16	5	0.3318132804922196
Average-based	16	6	0.321077855596948
Average-based	16	7	0.3266479496052752
Average-based	16	8	0.3535555027368658
Average-based	16	9	0.3279224950743765
Onehot-based	16	0	0.3736058615955526
Onehot-based	16	1	0.32206826976033404
Onehot-based	16	2	0.3877172642219091
Onehot-based	16	3	0.37400080411129727
Onehot-based	16	4	0.36663922289893713
Onehot-based	16	5	0.3393114458571678
Onehot-based	16	6	0.31751034509256404
Onehot-based	16	7	0.3519293198932968
Onehot-based	16	8	0.36268271081633907
Onehot-based	16	9	0.34146868583940804
wNMF-based	16	0	0.21606986219697344
wNMF-based	16	1	0.21430220130951258
wNMF-based	16	2	0.22822295005419677
wNMF-based	16	3	0.2141073816758473
wNMF-based	16	4	0.22287666323162317
wNMF-based	16	5	0.21591409499261496
wNMF-based	16	6	0.21371766709457266
wNMF-based	16	7	0.22703324181930692
wNMF-based	16	8	0.22211975065985526
wNMF-based	16	9	0.2215164903787175
Average-based	17	0	0.30141805172994107
Average-based	17	1	0.31783894735538604
Average-based	17	2	0.31744899163298174
Average-based	17	3	0.3189971241912719
Average-based	17	4	0.3166298515966675
Average-based	17	5	0.31871631557782665
Average-based	17	6	0.3392293069558693
Average-based	17	7	0.31941233119939044
Average-based	17	8	0.32498554722486683
Average-based	17	9	0.3001767878596177
Onehot-based	17	0	0.31235267509315034
Onehot-based	17	1	0.3520823556443283
Onehot-based	17	2	0.3251139864020997
Onehot-based	17	3	0.31482062805820143
Onehot-based	17	4	0.3262553839302895
Onehot-based	17	5	0.35356334182055715
Onehot-based	17	6	0.3228859258738383
Onehot-based	17	7	0.3181450379624266
Onehot-based	17	8	0.3459789064109704
Onehot-based	17	9	0.3118372049955002
wNMF-based	17	0	0.2140707417960433
wNMF-based	17	1	0.23523344590087564
wNMF-based	17	2	0.22558701113901064
wNMF-based	17	3	0.22553971013230031
wNMF-based	17	4	0.2212932066642232
wNMF-based	17	5	0.22121602261977105
wNMF-based	17	6	0.24715399168490773
wNMF-based	17	7	0.21543589041903471
wNMF-based	17	8	0.21752255743515295
wNMF-based	17	9	0.22187668127286522
Average-based	18	0	0.283643916880823
Average-based	18	1	0.32070292830461283
Average-based	18	2	0.3160590520269297
Average-based	18	3	0.31062443699089703
Average-based	18	4	0.31745306052211125
Average-based	18	5	0.31621618315592104
Average-based	18	6	0.31944611517492516
Average-based	18	7	0.3159154544413185
Average-based	18	8	0.31811852499387927
Average-based	18	9	0.31676631266405764
Onehot-based	18	0	0.3205818679079444
Onehot-based	18	1	0.340284859952143
Onehot-based	18	2	0.33872075829328263
Onehot-based	18	3	0.30166785969901816
Onehot-based	18	4	0.3222497244454168
Onehot-based	18	5	0.3262952839411852
Onehot-based	18	6	0.3153436081258728
Onehot-based	18	7	0.3156550843708968
Onehot-based	18	8	0.3076765841824678
Onehot-based	18	9	0.3239417483140959
wNMF-based	18	0	0.21763724908721363
wNMF-based	18	1	0.22042959749014557
wNMF-based	18	2	0.23294462161065488
wNMF-based	18	3	0.22107259102523671
wNMF-based	18	4	0.19321419941078463
wNMF-based	18	5	0.19820450860263614
wNMF-based	18	6	0.2178275997594725
wNMF-based	18	7	0.2097519745548102
wNMF-based	18	8	0.20784807136229144
wNMF-based	18	9	0.21569276722687242
Average-based	19	0	0.2949102977614833
Average-based	19	1	0.3117441105508672
Average-based	19	2	0.3043279153582931
Average-based	19	3	0.31110160187625163
Average-based	19	4	0.3035681206159739
Average-based	19	5	0.29368244616495837
Average-based	19	6	0.27681845326236676
Average-based	19	7	0.29182444953349373
Average-based	19	8	0.2984666647113103
Average-based	19	9	0.2899249577739911
Onehot-based	19	0	0.3141112757446641
Onehot-based	19	1	0.3286564199910109
Onehot-based	19	2	0.3007327779438569
Onehot-based	19	3	0.3287602915348483
Onehot-based	19	4	0.3035622785427632
Onehot-based	19	5	0.29494356596432597
Onehot-based	19	6	0.34548005997123293
Onehot-based	19	7	0.31211021996732724
Onehot-based	19	8	0.31564292916914244
Onehot-based	19	9	0.3095819853537128
wNMF-based	19	0	0.19745178178915795
wNMF-based	19	1	0.2043532395514814
wNMF-based	19	2	0.21191529174466547
wNMF-based	19	3	0.18525408282865494
wNMF-based	19	4	0.19065142816919164
wNMF-based	19	5	0.17707855078135984
wNMF-based	19	6	0.19678128598239514
wNMF-based	19	7	0.192670230964774
wNMF-based	19	8	0.1813898306413658
wNMF-based	19	9	0.19543243772084146
Average-based	20	0	0.2976829155839798
Average-based	20	1	0.31033970842860015
Average-based	20	2	0.2980686818692103
Average-based	20	3	0.2965187173534624
Average-based	20	4	0.3139221363667674
Average-based	20	5	0.28385517115901454
Average-based	20	6	0.2759975017899505
Average-based	20	7	0.28580431245088866
Average-based	20	8	0.283337706969157
Average-based	20	9	0.2971915306410468
Onehot-based	20	0	0.29079663629816416
Onehot-based	20	1	0.3143984171326934
Onehot-based	20	2	0.3170639528127052
Onehot-based	20	3	0.33466858390212695
Onehot-based	20	4	0.2870402782246696
Onehot-based	20	5	0.30353170453556055
Onehot-based	20	6	0.3161755098095011
Onehot-based	20	7	0.2935538133984487
Onehot-based	20	8	0.3007306344150694
Onehot-based	20	9	0.3203191981623566
wNMF-based	20	0	0.21715447053133144
wNMF-based	20	1	0.19075692646637468
wNMF-based	20	2	0.20600890101543395
wNMF-based	20	3	0.20590832081949614
wNMF-based	20	4	0.20200173018488748
wNMF-based	20	5	0.1961020013719728
wNMF-based	20	6	0.17515748076972412
wNMF-based	20	7	0.20487915629804151
wNMF-based	20	8	0.19789346724019036
wNMF-based	20	9	0.1904261287944585
