method	n_cluster	seed	ari_value
Average-based	10	0	0.4789477673394565
Average-based	10	1	0.480896619117441
Average-based	10	2	0.4795857084643724
Average-based	10	3	0.4802604194544418
Average-based	10	4	0.4795857084643724
Average-based	10	5	0.4802604194544418
Average-based	10	6	0.4802604194544418
Average-based	10	7	0.480641375969933
Average-based	10	8	0.4795857084643724
Average-based	10	9	0.480641375969933
Onehot-based	10	0	0.5005645729400344
Onehot-based	10	1	0.5005645729400344
Onehot-based	10	2	0.5005645729400344
Onehot-based	10	3	0.5005645729400344
Onehot-based	10	4	0.5005645729400344
Onehot-based	10	5	0.5005645729400344
Onehot-based	10	6	0.5005645729400344
Onehot-based	10	7	0.5005645729400344
Onehot-based	10	8	0.5005645729400344
Onehot-based	10	9	0.5005645729400344
wNMF-based	10	0	0.4905912844251543
wNMF-based	10	1	0.49100669792620993
wNMF-based	10	2	0.4913645158666715
wNMF-based	10	3	0.4922776498554538
wNMF-based	10	4	0.49124191504800396
wNMF-based	10	5	0.49100669792620993
wNMF-based	10	6	0.4942007664482628
wNMF-based	10	7	0.4942007664482628
wNMF-based	10	8	0.49100669792620993
wNMF-based	10	9	0.4942007664482628
Average-based	11	0	0.5143836513508584
Average-based	11	1	0.5141852194595298
Average-based	11	2	0.514390359475348
Average-based	11	3	0.514390359475348
Average-based	11	4	0.514390359475348
Average-based	11	5	0.5143836513508584
Average-based	11	6	0.5141852194595298
Average-based	11	7	0.514390359475348
Average-based	11	8	0.5129455937587154
Average-based	11	9	0.5143836513508584
Onehot-based	11	0	0.5131498895267532
Onehot-based	11	1	0.5131498895267532
Onehot-based	11	2	0.5131498895267532
Onehot-based	11	3	0.5131498895267532
Onehot-based	11	4	0.5131498895267532
Onehot-based	11	5	0.5131498895267532
Onehot-based	11	6	0.5131498895267532
Onehot-based	11	7	0.5131498895267532
Onehot-based	11	8	0.5131498895267532
Onehot-based	11	9	0.5131498895267532
wNMF-based	11	0	0.5124536740260578
wNMF-based	11	1	0.5122957550263556
wNMF-based	11	2	0.5124536740260578
wNMF-based	11	3	0.5122998380282736
wNMF-based	11	4	0.5139157015760643
wNMF-based	11	5	0.5137174677401406
wNMF-based	11	6	0.5135546333862915
wNMF-based	11	7	0.5122998380282736
wNMF-based	11	8	0.5122998380282736
wNMF-based	11	9	0.5124536740260578
Average-based	12	0	0.5103428670711395
Average-based	12	1	0.4973949660242428
Average-based	12	2	0.5090407050513259
Average-based	12	3	0.5095813158183586
Average-based	12	4	0.4971326807933175
Average-based	12	5	0.4973949660242428
Average-based	12	6	0.4951330734065748
Average-based	12	7	0.4964478038414519
Average-based	12	8	0.4971495962450796
Average-based	12	9	0.4971495962450796
Onehot-based	12	0	0.5077018569747679
Onehot-based	12	1	0.5081553059669867
Onehot-based	12	2	0.506842622868396
Onehot-based	12	3	0.506842622868396
Onehot-based	12	4	0.5098758331642915
Onehot-based	12	5	0.5077018569747679
Onehot-based	12	6	0.506842622868396
Onehot-based	12	7	0.5060837283648306
Onehot-based	12	8	0.506842622868396
Onehot-based	12	9	0.506842622868396
wNMF-based	12	0	0.5039653656113395
wNMF-based	12	1	0.5039653656113395
wNMF-based	12	2	0.5039653656113395
wNMF-based	12	3	0.49043814035070743
wNMF-based	12	4	0.5039653656113395
wNMF-based	12	5	0.5046260270081987
wNMF-based	12	6	0.5018505417932824
wNMF-based	12	7	0.5014590953818668
wNMF-based	12	8	0.5039653656113395
wNMF-based	12	9	0.5005338520559128
Average-based	13	0	0.5255842863986645
Average-based	13	1	0.5252514747577848
Average-based	13	2	0.5255842863986645
Average-based	13	3	0.522819086636547
Average-based	13	4	0.5252514747577848
Average-based	13	5	0.5060297593149992
Average-based	13	6	0.5252514747577848
Average-based	13	7	0.5258016969609791
Average-based	13	8	0.5259583069636493
Average-based	13	9	0.5257676137433417
Onehot-based	13	0	0.5223370201033457
Onehot-based	13	1	0.5238854293949414
Onehot-based	13	2	0.5238854293949414
Onehot-based	13	3	0.5246784220370343
Onehot-based	13	4	0.5246784220370343
Onehot-based	13	5	0.5246784220370343
Onehot-based	13	6	0.5246784220370343
Onehot-based	13	7	0.5246784220370343
Onehot-based	13	8	0.5223370201033457
Onehot-based	13	9	0.5215459956845002
wNMF-based	13	0	0.4540102629925517
