method	n_cluster	seed	ari_value
Average-based	10	0	0.32267138837102977
Average-based	10	1	0.32206980150394465
Average-based	10	2	0.32267138837102977
Average-based	10	3	0.32206980150394465
Average-based	10	4	0.32206980150394465
Average-based	10	5	0.32267138837102977
Average-based	10	6	0.32063197162621054
Average-based	10	7	0.32206980150394465
Average-based	10	8	0.32206980150394465
Average-based	10	9	0.32206980150394465
Onehot-based	10	0	0.3217362835785393
Onehot-based	10	1	0.3217362835785393
Onehot-based	10	2	0.3217362835785393
Onehot-based	10	3	0.3217362835785393
Onehot-based	10	4	0.3217362835785393
Onehot-based	10	5	0.3217362835785393
Onehot-based	10	6	0.3217362835785393
Onehot-based	10	7	0.3217362835785393
Onehot-based	10	8	0.3217362835785393
Onehot-based	10	9	0.3217362835785393
wNMF-based	10	0	0.3232795447754534
wNMF-based	10	1	0.3232795447754534
wNMF-based	10	2	0.3232795447754534
wNMF-based	10	3	0.3232795447754534
wNMF-based	10	4	0.3232795447754534
wNMF-based	10	5	0.3232795447754534
wNMF-based	10	6	0.3232795447754534
wNMF-based	10	7	0.3232795447754534
wNMF-based	10	8	0.3232795447754534
wNMF-based	10	9	0.3232795447754534
Average-based	11	0	0.3276863520986124
Average-based	11	1	0.3276863520986124
Average-based	11	2	0.3276863520986124
Average-based	11	3	0.3276863520986124
Average-based	11	4	0.3276437817041187
Average-based	11	5	0.3276863520986124
Average-based	11	6	0.3276863520986124
Average-based	11	7	0.3276863520986124
Average-based	11	8	0.3276863520986124
Average-based	11	9	0.3276863520986124
Onehot-based	11	0	0.3276437817041187
Onehot-based	11	1	0.3276437817041187
Onehot-based	11	2	0.3276437817041187
Onehot-based	11	3	0.3276437817041187
Onehot-based	11	4	0.3276437817041187
Onehot-based	11	5	0.3276863520986124
Onehot-based	11	6	0.3276863520986124
Onehot-based	11	7	0.3276437817041187
Onehot-based	11	8	0.3276437817041187
Onehot-based	11	9	0.3276437817041187
wNMF-based	11	0	0.30679063445252003
wNMF-based	11	1	0.30679063445252003
wNMF-based	11	2	0.30679063445252003
wNMF-based	11	3	0.30679063445252003
wNMF-based	11	4	0.30679063445252003
wNMF-based	11	5	0.30679063445252003
