,k=10_Average-based_0,k=10_Average-based_1,k=10_Average-based_2,k=10_Average-based_3,k=10_Average-based_4,k=10_Average-based_5,k=10_Average-based_6,k=10_Average-based_7,k=10_Average-based_8,k=10_Average-based_9,k=10_Onehot-based_0,k=10_Onehot-based_1,k=10_Onehot-based_2,k=10_Onehot-based_3,k=10_Onehot-based_4,k=10_Onehot-based_5,k=10_Onehot-based_6,k=10_Onehot-based_7,k=10_Onehot-based_8,k=10_Onehot-based_9,k=10_wNMF-based_0,k=10_wNMF-based_1,k=10_wNMF-based_2,k=10_wNMF-based_3,k=10_wNMF-based_4,k=10_wNMF-based_5,k=10_wNMF-based_6,k=10_wNMF-based_7,k=10_wNMF-based_8,k=10_wNMF-based_9,k=11_Average-based_0,k=11_Average-based_1,k=11_Average-based_2,k=11_Average-based_3,k=11_Average-based_4,k=11_Average-based_5,k=11_Average-based_6,k=11_Average-based_7,k=11_Average-based_8,k=11_Average-based_9,k=11_Onehot-based_0,k=11_Onehot-based_1,k=11_Onehot-based_2,k=11_Onehot-based_3,k=11_Onehot-based_4,k=11_Onehot-based_5,k=11_Onehot-based_6,k=11_Onehot-based_7,k=11_Onehot-based_8,k=11_Onehot-based_9,k=11_wNMF-based_0,k=11_wNMF-based_1,k=11_wNMF-based_2,k=11_wNMF-based_3,k=11_wNMF-based_4,k=11_wNMF-based_5,k=11_wNMF-based_6,k=11_wNMF-based_7,k=11_wNMF-based_8,k=11_wNMF-based_9,k=12_Average-based_0,k=12_Average-based_1,k=12_Average-based_2,k=12_Average-based_3,k=12_Average-based_4,k=12_Average-based_5,k=12_Average-based_6,k=12_Average-based_7,k=12_Average-based_8,k=12_Average-based_9,k=12_Onehot-based_0,k=12_Onehot-based_1,k=12_Onehot-based_2,k=12_Onehot-based_3,k=12_Onehot-based_4,k=12_Onehot-based_5,k=12_Onehot-based_6,k=12_Onehot-based_7,k=12_Onehot-based_8,k=12_Onehot-based_9,k=12_wNMF-based_0,k=12_wNMF-based_1,k=12_wNMF-based_2,k=12_wNMF-based_3,k=12_wNMF-based_4,k=12_wNMF-based_5,k=12_wNMF-based_6,k=12_wNMF-based_7,k=12_wNMF-based_8,k=12_wNMF-based_9,k=13_Average-based_0,k=13_Average-based_1,k=13_Average-based_2,k=13_Average-based_3,k=13_Average-based_4,k=13_Average-based_5,k=13_Average-based_6,k=13_Average-based_7,k=13_Average-based_8,k=13_Average-based_9,k=13_Onehot-based_0,k=13_Onehot-based_1,k=13_Onehot-based_2,k=13_Onehot-based_3,k=13_Onehot-based_4,k=13_Onehot-based_5,k=13_Onehot-based_6,k=13_Onehot-based_7,k=13_Onehot-based_8,k=13_Onehot-based_9,k=13_wNMF-based_0,k=13_wNMF-based_1,k=13_wNMF-based_2,k=13_wNMF-based_3,k=13_wNMF-based_4,k=13_wNMF-based_5,k=13_wNMF-based_6,k=13_wNMF-based_7,k=13_wNMF-based_8,k=13_wNMF-based_9,k=14_Average-based_0,k=14_Average-based_1,k=14_Average-based_2,k=14_Average-based_3,k=14_Average-based_4,k=14_Average-based_5,k=14_Average-based_6,k=14_Average-based_7,k=14_Average-based_8,k=14_Average-based_9,k=14_Onehot-based_0,k=14_Onehot-based_1,k=14_Onehot-based_2,k=14_Onehot-based_3,k=14_Onehot-based_4,k=14_Onehot-based_5,k=14_Onehot-based_6,k=14_Onehot-based_7,k=14_Onehot-based_8,k=14_Onehot-based_9,k=14_wNMF-based_0,k=14_wNMF-based_1,k=14_wNMF-based_2,k=14_wNMF-based_3,k=14_wNMF-based_4,k=14_wNMF-based_5,k=14_wNMF-based_6,k=14_wNMF-based_7,k=14_wNMF-based_8,k=14_wNMF-based_9,k=15_Average-based_0,k=15_Average-based_1,k=15_Average-based_2,k=15_Average-based_3,k=15_Average-based_4,k=15_Average-based_5,k=15_Average-based_6,k=15_Average-based_7,k=15_Average-based_8,k=15_Average-based_9,k=15_Onehot-based_0,k=15_Onehot-based_1,k=15_Onehot-based_2,k=15_Onehot-based_3,k=15_Onehot-based_4,k=15_Onehot-based_5,k=15_Onehot-based_6,k=15_Onehot-based_7,k=15_Onehot-based_8,k=15_Onehot-based_9,k=15_wNMF-based_0,k=15_wNMF-based_1,k=15_wNMF-based_2,k=15_wNMF-based_3,k=15_wNMF-based_4,k=15_wNMF-based_5,k=15_wNMF-based_6,k=15_wNMF-based_7,k=15_wNMF-based_8,k=15_wNMF-based_9,k=16_Average-based_0,k=16_Average-based_1,k=16_Average-based_2,k=16_Average-based_3,k=16_Average-based_4,k=16_Average-based_5,k=16_Average-based_6,k=16_Average-based_7,k=16_Average-based_8,k=16_Average-based_9,k=16_Onehot-based_0,k=16_Onehot-based_1,k=16_Onehot-based_2,k=16_Onehot-based_3,k=16_Onehot-based_4,k=16_Onehot-based_5,k=16_Onehot-based_6,k=16_Onehot-based_7,k=16_Onehot-based_8,k=16_Onehot-based_9,k=16_wNMF-based_0,k=16_wNMF-based_1,k=16_wNMF-based_2,k=16_wNMF-based_3,k=16_wNMF-based_4,k=16_wNMF-based_5,k=16_wNMF-based_6,k=16_wNMF-based_7,k=16_wNMF-based_8,k=16_wNMF-based_9,k=17_Average-based_0,k=17_Average-based_1,k=17_Average-based_2,k=17_Average-based_3,k=17_Average-based_4,k=17_Average-based_5,k=17_Average-based_6,k=17_Average-based_7,k=17_Average-based_8,k=17_Average-based_9,k=17_Onehot-based_0,k=17_Onehot-based_1,k=17_Onehot-based_2,k=17_Onehot-based_3,k=17_Onehot-based_4,k=17_Onehot-based_5,k=17_Onehot-based_6,k=17_Onehot-based_7,k=17_Onehot-based_8,k=17_Onehot-based_9,k=17_wNMF-based_0,k=17_wNMF-based_1,k=17_wNMF-based_2,k=17_wNMF-based_3,k=17_wNMF-based_4,k=17_wNMF-based_5,k=17_wNMF-based_6,k=17_wNMF-based_7,k=17_wNMF-based_8,k=17_wNMF-based_9,k=18_Average-based_0,k=18_Average-based_1,k=18_Average-based_2,k=18_Average-based_3,k=18_Average-based_4,k=18_Average-based_5,k=18_Average-based_6,k=18_Average-based_7,k=18_Average-based_8,k=18_Average-based_9,k=18_Onehot-based_0,k=18_Onehot-based_1,k=18_Onehot-based_2,k=18_Onehot-based_3,k=18_Onehot-based_4,k=18_Onehot-based_5,k=18_Onehot-based_6,k=18_Onehot-based_7,k=18_Onehot-based_8,k=18_Onehot-based_9,k=18_wNMF-based_0,k=18_wNMF-based_1,k=18_wNMF-based_2,k=18_wNMF-based_3,k=18_wNMF-based_4,k=18_wNMF-based_5,k=18_wNMF-based_6,k=18_wNMF-based_7,k=18_wNMF-based_8,k=18_wNMF-based_9,k=19_Average-based_0,k=19_Average-based_1,k=19_Average-based_2,k=19_Average-based_3,k=19_Average-based_4,k=19_Average-based_5,k=19_Average-based_6,k=19_Average-based_7,k=19_Average-based_8,k=19_Average-based_9,k=19_Onehot-based_0,k=19_Onehot-based_1,k=19_Onehot-based_2,k=19_Onehot-based_3,k=19_Onehot-based_4,k=19_Onehot-based_5,k=19_Onehot-based_6,k=19_Onehot-based_7,k=19_Onehot-based_8,k=19_Onehot-based_9,k=19_wNMF-based_0,k=19_wNMF-based_1,k=19_wNMF-based_2,k=19_wNMF-based_3,k=19_wNMF-based_4,k=19_wNMF-based_5,k=19_wNMF-based_6,k=19_wNMF-based_7,k=19_wNMF-based_8,k=19_wNMF-based_9,k=20_Average-based_0,k=20_Average-based_1,k=20_Average-based_2,k=20_Average-based_3,k=20_Average-based_4,k=20_Average-based_5,k=20_Average-based_6,k=20_Average-based_7,k=20_Average-based_8,k=20_Average-based_9,k=20_Onehot-based_0,k=20_Onehot-based_1,k=20_Onehot-based_2,k=20_Onehot-based_3,k=20_Onehot-based_4,k=20_Onehot-based_5,k=20_Onehot-based_6,k=20_Onehot-based_7,k=20_Onehot-based_8,k=20_Onehot-based_9,k=20_wNMF-based_0,k=20_wNMF-based_1,k=20_wNMF-based_2,k=20_wNMF-based_3,k=20_wNMF-based_4,k=20_wNMF-based_5,k=20_wNMF-based_6,k=20_wNMF-based_7,k=20_wNMF-based_8,k=20_wNMF-based_9
0,1,0,2,1,5,1,3,4,8,9,6,0,8,8,8,9,9,8,7,7,9,1,0,8,8,2,7,8,8,8,9,1,9,8,3,9,0,10,10,10,8,8,7,8,7,10,7,10,6,10,9,8,0,8,9,1,8,9,9,8,10,8,0,11,8,2,9,9,10,7,2,7,8,9,1,7,2,7,10,7,8,8,4,1,8,9,9,11,0,10,10,0,9,2,10,12,10,9,10,3,6,9,0,6,5,8,7,9,9,11,1,1,0,12,10,10,11,1,10,2,10,10,10,13,4,12,10,12,1,13,5,13,0,11,9,0,13,12,9,9,10,8,0,0,2,11,10,10,1,4,1,14,14,12,1,12,14,2,6,14,13,14,14,14,14,6,0,13,12,10,1,12,8,3,7,8,14,13,14,10,13,9,5,13,13,13,11,10,13,14,14,14,11,9,0,0,11,13,9,13,15,10,1,15,15,5,13,9,7,10,15,5,16,12,15,12,11,2,11,15,15,13,14,12,14,15,15,12,12,16,13,14,13,11,15,9,14,7,1,2,15,10,17,11,11,17,15,8,11,12,10,17,17,15,8,14,13,15,13,16,0,11,13,11,14,15,13,17,17,12,12,1,15,16,15,12,8,14,14,15,15,16,11,14,13,14,12,11,11,12,14,15,11,15,14,14,13,16,18,14,13,2,19,18,15,15,13,7,13,2,12,15,12,15,17,16,15,19,17,9,14,17,17,18,17,18,17,0,18,13
1,6,6,8,6,6,0,1,8,0,7,7,7,4,4,5,0,3,5,0,9,4,8,8,4,5,7,8,6,6,7,7,8,7,6,8,7,8,4,8,6,5,4,9,5,9,0,5,6,7,2,5,9,6,5,6,0,6,7,0,7,9,3,9,8,7,0,8,7,0,3,7,2,7,5,8,5,0,5,8,9,6,6,10,4,6,0,4,8,7,5,8,8,10,10,0,9,8,10,9,9,9,11,5,9,6,10,10,8,8,9,10,9,9,8,0,2,2,9,6,10,9,8,3,6,8,8,9,2,7,9,6,7,10,7,0,4,8,8,0,7,4,9,6,10,0,2,9,9,8,9,4,4,9,8,8,7,8,5,1,7,14,9,2,10,3,5,6,2,7,1,4,1,1,8,3,1,8,9,1,2,9,6,7,7,0,8,7,9,5,4,4,7,7,7,8,10,9,2,0,5,3,4,8,5,3,6,7,5,3,8,14,7,1,13,2,14,6,0,2,5,2,2,6,9,6,4,4,15,15,1,2,1,16,3,7,3,13,16,15,14,1,1,0,5,2,4,5,3,6,4,3,3,1,7,7,1,7,2,1,2,2,5,12,8,4,4,17,10,9,15,4,5,3,5,3,4,18,0,7,5,5,2,4,7,4,7,8,3,4,1,4,7,2,3,11,3,2,3,1,5,16,11,1,19,4,18,16,2,1,3,19,17,1,18,7,17,3,6,19,1,15,13,4,1,15,13,5,1,1,15
2,8,7,9,8,9,9,9,9,9,2,9,9,7,7,7,6,7,7,8,8,9,1,0,8,8,2,7,8,8,8,1,2,2,1,4,3,4,0,1,5,9,9,8,9,8,8,9,0,4,8,1,10,8,1,10,10,10,3,10,1,10,8,0,11,8,2,9,9,10,7,2,7,8,9,1,7,2,7,10,7,8,8,4,1,8,9,9,11,0,10,10,0,9,2,10,12,10,9,10,3,6,9,0,6,5,8,7,9,9,11,1,1,0,12,10,10,11,1,10,2,1,4,0,1,12,1,2,9,8,3,13,8,13,13,2,11,10,4,13,12,10,8,0,0,2,11,10,10,1,4,12,3,12,4,11,2,1,11,12,10,9,10,11,9,10,13,12,11,14,12,1,12,8,3,7,8,0,13,14,10,7,13,13,11,11,7,6,12,1,12,10,5,10,10,12,11,12,12,13,10,0,0,14,10,9,3,0,14,13,13,9,10,14,16,13,13,13,13,13,14,12,11,7,10,11,12,10,13,8,10,12,11,12,14,9,1,1,13,11,9,17,12,14,2,16,13,16,1,16,17,17,16,16,14,11,11,0,10,14,12,17,1,8,12,11,3,0,16,8,0,17,17,17,18,13,18,15,17,18,14,14,11,16,12,18,15,14,13,15,14,17,18,1,17,17,1,17,17,17,17,17,14,16,12,17,19,19,18,19,16,13,14,16,10,15,13,9,11,10,7,11,16,14,13,1,14,9,13,16,1
3,8,7,9,8,9,9,9,9,9,2,9,9,7,7,7,6,7,7,8,8,9,1,0,8,8,2,7,8,8,8,1,2,2,1,4,3,4,0,1,5,9,9,8,9,8,8,9,0,4,8,1,10,8,1,10,10,10,3,10,1,10,8,0,11,8,2,9,9,10,7,2,7,8,9,1,7,2,7,10,7,8,8,4,1,8,9,9,11,0,10,10,0,9,2,10,12,10,9,10,3,6,9,0,6,5,8,7,9,9,11,1,1,0,12,10,10,11,1,10,2,1,4,0,1,12,1,2,9,8,3,13,8,13,13,2,11,10,4,13,12,10,8,0,0,2,11,10,10,1,4,12,3,12,4,11,2,1,11,12,10,9,10,11,9,10,13,12,11,14,12,1,12,8,3,7,8,14,13,14,10,7,13,13,11,11,7,6,12,1,12,10,5,10,10,12,11,12,12,13,10,0,0,14,10,9,3,0,14,13,13,9,10,14,16,13,13,13,13,13,14,12,11,7,10,11,12,10,13,8,10,12,11,12,14,9,1,1,13,11,9,4,17,14,2,1,13,2,1,12,3,11,14,12,17,14,17,17,16,17,12,17,1,8,12,11,3,0,16,8,0,3,14,6,7,17,13,17,16,2,17,16,17,13,18,16,9,14,15,14,13,6,14,1,1,5,5,6,0,2,6,6,15,16,15,2,16,1,18,3,16,13,14,16,10,0,19,16,11,10,7,11,16,14,13,1,14,9,13,16,1
4,5,5,7,7,4,3,5,7,6,6,5,4,6,2,6,4,6,6,6,5,5,0,6,7,3,6,4,5,5,5,8,9,8,9,9,8,9,9,7,9,6,7,5,7,5,6,8,8,8,5,7,2,7,10,8,9,9,2,7,9,1,10,10,1,10,9,1,10,9,10,8,8,10,4,9,10,11,4,9,11,9,0,9,10,11,8,6,10,8,9,11,9,12,1,1,11,11,12,1,10,10,10,10,12,11,9,9,10,10,10,11,12,11,1,1,11,12,12,11,11,13,12,11,10,0,7,11,13,12,10,12,10,5,10,10,8,9,10,10,11,12,12,9,11,13,10,12,12,11,11,11,10,11,10,9,1,9,9,10,12,11,8,10,7,7,10,7,10,9,8,11,14,10,10,8,6,7,2,10,11,1,10,9,10,12,11,10,13,11,11,11,12,12,8,11,13,7,10,11,14,6,14,2,13,8,15,11,4,10,14,12,13,13,3,11,9,12,15,9,9,9,7,9,14,8,13,6,7,11,0,7,6,9,0,14,14,11,12,9,5,11,11,9,0,12,11,9,14,10,10,12,9,10,0,9,10,11,9,9,10,9,10,9,9,13,7,12,2,13,13,14,7,11,15,9,6,10,10,1,13,7,7,12,5,12,6,6,9,8,11,12,10,5,10,16,9,8,8,9,12,11,9,7,5,11,12,11,8,11,11,7,11,0,0,13,11,6,9,8,13,9,8,0,3,7,12,7,7,4,5
5,2,4,6,4,7,5,7,6,7,5,4,5,5,6,4,8,2,1,5,4,6,6,2,0,4,0,5,0,4,4,6,5,3,5,5,5,7,6,6,8,2,5,6,6,4,3,4,4,2,1,6,5,5,6,5,3,4,8,8,6,6,5,6,7,6,6,5,6,7,6,1,4,1,7,4,3,4,6,5,3,4,5,5,5,5,5,7,5,2,4,5,4,0,9,8,7,7,8,6,1,3,3,6,7,10,4,6,4,5,7,7,5,6,6,7,6,4,10,7,7,6,3,2,5,6,6,5,6,9,6,4,2,1,5,5,6,2,6,6,6,2,5,3,5,6,7,5,5,4,5,2,6,10,6,3,6,6,10,4,5,7,3,3,1,5,4,2,6,0,4,3,8,4,4,6,4,6,5,4,7,2,2,3,3,9,4,2,4,7,2,6,1,1,4,2,4,4,9,6,4,1,2,3,7,2,2,1,2,1,2,4,6,0,1,6,6,3,11,5,4,1,5,5,2,1,1,1,1,6,3,3,4,1,2,3,2,2,2,3,0,5,2,6,3,4,6,4,4,1,5,5,1,6,1,3,12,1,3,2,3,1,0,4,2,2,8,1,6,4,1,3,14,18,17,4,3,17,18,6,18,18,18,17,17,17,17,1,18,17,16,6,0,18,1,5,5,6,0,2,6,6,15,5,15,2,16,1,19,3,10,16,19,19,14,0,19,3,16,18,18,16,7,2,4,2,1,19,11,6,18
6,1,0,2,1,5,1,3,4,8,9,6,0,8,8,8,9,9,8,7,7,9,1,0,8,8,2,7,8,8,8,9,1,9,8,3,9,0,10,10,10,8,8,7,8,7,10,7,10,6,10,9,8,0,8,9,1,8,9,9,8,10,8,0,11,8,2,9,9,10,7,2,7,8,9,1,7,2,7,10,7,8,8,4,1,8,9,9,11,0,10,8,8,10,10,0,9,8,10,9,9,9,11,5,9,6,10,10,8,8,9,10,9,9,8,0,2,2,9,6,10,9,8,3,6,8,8,9,2,7,9,6,7,10,7,0,4,8,8,0,7,4,9,6,10,0,2,9,9,8,9,7,7,0,7,6,8,5,4,7,2,4,5,7,3,4,9,5,1,5,11,7,5,14,6,9,9,2,8,8,5,9,6,7,7,0,8,7,9,5,4,4,7,7,7,8,10,9,2,0,5,3,4,8,5,3,6,7,5,3,8,0,8,6,0,4,5,2,3,3,7,4,8,3,4,4,5,7,5,3,6,6,3,6,4,5,7,3,0,4,10,9,4,7,8,8,0,6,7,8,9,0,7,0,5,6,0,12,4,0,5,3,3,2,5,3,11,5,7,7,2,5,12,7,6,5,8,14,7,5,7,11,4,8,10,1,8,7,0,5,5,9,8,9,7,0,7,0,6,8,10,8,10,2,16,9,11,6,3,6,7,3,1,7,5,10,5,17,0,2,0,3,4,11,6,0,4,3,8,8,0
7,2,4,6,4,7,5,7,6,7,5,4,5,5,6,4,8,2,1,5,4,6,6,2,0,4,0,5,0,4,4,6,5,3,5,5,5,7,6,6,8,2,5,6,6,4,3,4,4,2,1,6,5,5,6,5,3,4,8,8,6,6,5,6,7,6,6,5,6,7,6,1,4,1,7,4,3,4,6,5,3,4,5,5,5,5,5,7,5,2,4,5,4,0,9,8,7,7,8,6,1,3,3,6,7,10,4,6,4,5,7,7,5,6,6,7,6,4,10,7,7,6,3,2,5,6,6,5,6,9,6,4,2,1,5,5,6,2,6,6,6,2,5,3,5,6,7,5,5,4,5,2,6,10,6,3,6,6,10,4,5,7,3,3,1,5,4,2,6,0,4,3,8,4,4,6,4,6,5,4,7,2,2,3,3,9,4,2,4,7,2,6,1,1,4,2,4,4,9,6,4,1,2,3,7,2,2,1,2,1,2,4,6,0,1,6,6,3,11,5,4,1,5,5,2,1,1,1,1,6,3,3,4,1,2,3,2,2,2,3,0,5,2,6,3,4,6,4,4,1,5,5,1,6,1,3,12,1,3,2,3,1,0,4,2,2,8,1,6,4,1,6,3,2,9,8,5,3,4,9,3,8,3,2,4,5,5,9,8,9,3,7,3,8,6,3,10,3,4,7,3,2,3,6,4,7,2,7,5,16,4,1,4,4,3,3,12,1,1,5,5,1,2,1,5,3,2,2,3,2,6
8,5,5,7,7,4,3,5,7,6,6,5,4,6,2,6,4,6,6,6,5,5,0,6,7,3,6,4,5,5,5,8,9,8,9,9,8,9,9,7,9,6,7,5,7,5,6,8,8,8,5,7,2,7,10,8,9,9,2,7,9,1,10,10,1,10,9,1,10,9,10,8,8,10,4,9,10,11,4,9,11,9,0,9,10,11,8,6,10,8,9,12,10,11,11,9,2,4,11,11,12,12,12,12,10,12,12,12,12,12,8,12,7,1,10,12,7,10,2,1,5,13,12,11,10,0,7,11,13,12,10,12,10,5,10,10,8,9,10,10,11,1,1,1,13,9,12,2,2,12,13,11,10,11,10,9,1,9,9,10,12,11,8,10,7,7,10,7,10,9,8,11,14,10,10,8,6,7,2,10,11,1,10,9,10,12,11,10,13,11,11,11,12,12,8,11,13,7,10,11,14,6,14,2,13,8,15,11,4,10,14,12,13,13,3,11,9,12,15,9,9,9,7,9,14,8,13,6,7,11,0,7,6,9,0,14,14,11,12,9,5,11,11,9,0,12,11,9,14,10,10,12,9,10,0,9,10,11,9,9,10,9,10,9,9,13,7,12,2,13,13,14,7,11,15,9,6,10,10,1,13,7,7,12,5,12,6,6,9,8,11,12,10,5,10,16,9,8,8,9,12,11,9,7,5,11,12,11,8,11,11,7,11,0,0,13,11,6,9,8,13,9,8,0,3,7,12,7,7,4,5
9,2,4,6,4,7,5,7,6,7,5,4,5,5,6,4,8,2,1,5,4,6,6,2,0,4,0,5,0,4,4,6,5,3,5,5,5,7,6,6,8,2,5,6,6,4,3,4,4,2,1,6,5,5,6,5,3,4,8,8,6,6,5,6,7,6,6,5,6,7,6,1,4,1,7,4,3,4,6,5,3,4,5,5,5,5,5,7,5,2,4,5,4,0,9,8,7,7,8,6,1,3,3,6,7,10,4,6,4,5,7,7,5,6,6,7,6,4,10,7,7,6,3,2,5,6,6,5,6,9,6,4,2,1,5,5,6,2,6,6,6,2,5,3,5,6,7,5,5,4,5,2,6,10,6,3,6,6,10,4,5,7,3,3,1,5,4,2,6,0,4,3,8,4,4,6,4,6,5,4,7,2,2,3,3,9,4,2,4,7,2,6,1,1,4,2,4,4,9,6,4,1,2,3,7,2,2,1,2,1,2,4,6,0,1,6,6,3,11,5,4,1,5,5,2,1,1,1,1,6,3,3,4,1,2,3,2,2,2,3,0,5,2,6,3,4,6,4,4,1,5,5,1,6,1,3,12,1,3,2,3,1,0,4,2,2,8,1,6,4,1,3,14,18,17,4,3,17,18,6,18,18,18,17,17,17,17,1,18,17,16,6,0,18,1,5,5,6,0,2,6,6,15,5,15,2,16,1,19,3,10,16,19,19,14,0,19,3,16,18,18,16,7,2,4,2,1,19,11,6,18
