method	n_cluster	seed	ari_value
Average-based	10	0	0.06542723949985521
Average-based	10	1	0.06716180211713854
Average-based	10	2	0.06718834140411169
Average-based	10	3	0.06411208696073106
Average-based	10	4	0.06893616593917169
Average-based	10	5	0.06767965356042668
Average-based	10	6	0.06873342387558762
Average-based	10	7	0.0677148738401363
Average-based	10	8	0.06566953600722422
Average-based	10	9	0.06769540121491958
Onehot-based	10	0	0.07544923821539178
Onehot-based	10	1	0.07725595755104124
Onehot-based	10	2	0.07710391877205332
Onehot-based	10	3	0.07500207979724924
Onehot-based	10	4	0.07434912017159519
Onehot-based	10	5	0.07712331866989094
Onehot-based	10	6	0.0780633700542996
Onehot-based	10	7	0.07769748301929608
Onehot-based	10	8	0.07704475212322075
Onehot-based	10	9	0.07915469759853333
wNMF-based	10	0	0.06523852177202197
wNMF-based	10	1	0.06543750856703975
wNMF-based	10	2	0.06370481283569504
wNMF-based	10	3	0.06521203675268263
wNMF-based	10	4	0.06584304432649445
wNMF-based	10	5	0.06533328165713993
wNMF-based	10	6	0.06532357433566825
wNMF-based	10	7	0.06563750679614977
wNMF-based	10	8	0.0646660224443542
wNMF-based	10	9	0.06422934475051796
Average-based	11	0	0.07076431745679337
Average-based	11	1	0.07392946585864782
Average-based	11	2	0.07292937391897793
Average-based	11	3	0.07062109510325335
Average-based	11	4	0.07459067992488887
Average-based	11	5	0.07565078575564838
Average-based	11	6	0.07065911811080712
Average-based	11	7	0.0719081201866974
Average-based	11	8	0.07080805972140672
Average-based	11	9	0.07015878060877676
Onehot-based	11	0	0.08283337450790888
Onehot-based	11	1	0.08520748099939461
Onehot-based	11	2	0.07491060154824955
Onehot-based	11	3	0.08665098650234407
Onehot-based	11	4	0.07902258491939193
Onehot-based	11	5	0.08423070134450257
Onehot-based	11	6	0.09069837070247243
Onehot-based	11	7	0.07881820864719809
Onehot-based	11	8	0.08896504186313328
Onehot-based	11	9	0.08975393866470265
wNMF-based	11	0	0.07013507424849058
wNMF-based	11	1	0.06655642531357375
wNMF-based	11	2	0.07197058559326505
wNMF-based	11	3	0.07214838480955514
wNMF-based	11	4	0.07203630209017206
wNMF-based	11	5	0.07019467989656307
wNMF-based	11	6	0.07248940186235715
wNMF-based	11	7	0.06944017574342608
wNMF-based	11	8	0.07143988893838756
wNMF-based	11	9	0.06753034973329816
Average-based	12	0	0.07361727741445201
Average-based	12	1	0.08462555099216354
Average-based	12	2	0.08043234996909307
Average-based	12	3	0.085133332964827
Average-based	12	4	0.07267443649923905
Average-based	12	5	0.07237312250987103
Average-based	12	6	0.07432804611590087
Average-based	12	7	0.06796691608301841
Average-based	12	8	0.08071282586435577
Average-based	12	9	0.08171589306223112
Onehot-based	12	0	0.1036734719056947
Onehot-based	12	1	0.0954763796237323
Onehot-based	12	2	0.09764523784949314
Onehot-based	12	3	0.10375860603226432
Onehot-based	12	4	0.0989096372793488
Onehot-based	12	5	0.09487951805837497
Onehot-based	12	6	0.09991000532832045
Onehot-based	12	7	0.10169872844734722
Onehot-based	12	8	0.10356432672374437
Onehot-based	12	9	0.09852709576371815
wNMF-based	12	0	0.07182859296974278
wNMF-based	12	1	0.07868117594144991
wNMF-based	12	2	0.0865899050523922
wNMF-based	12	3	0.07486275923326209
wNMF-based	12	4	0.07682588993835306
wNMF-based	12	5	0.07639134074020602
wNMF-based	12	6	0.08206972039250586
wNMF-based	12	7	0.08344691193646137
wNMF-based	12	8	0.08260293122958487
wNMF-based	12	9	0.08534341660754352
Average-based	13	0	0.07857349768315947
Average-based	13	1	0.08244086919510746
Average-based	13	2	0.08372949182426896
Average-based	13	3	0.07963400131860932
Average-based	13	4	0.09139307802206889
Average-based	13	5	0.08407190254888602
Average-based	13	6	0.08911742713435072
Average-based	13	7	0.08929965484356951
Average-based	13	8	0.0751777508215968
Average-based	13	9	0.08000263188355508
Onehot-based	13	0	0.09449205123639662
Onehot-based	13	1	0.10451947323842396
Onehot-based	13	2	0.10119530780150464
Onehot-based	13	3	0.09316061627153178
Onehot-based	13	4	0.09999532320503339
Onehot-based	13	5	0.09391578674546769
Onehot-based	13	6	0.09761596499110829
Onehot-based	13	7	0.10030423222140311
Onehot-based	13	8	0.09340957578319964
Onehot-based	13	9	0.09857592930711329
wNMF-based	13	0	0.07637223947816975
wNMF-based	13	1	0.07880831249330017
wNMF-based	13	2	0.0772827508840265
wNMF-based	13	3	0.08808014023690834
wNMF-based	13	4	0.08124445473106874
wNMF-based	13	5	0.0726976442457569
wNMF-based	13	6	0.0759843350902674
wNMF-based	13	7	0.07722332052857855
wNMF-based	13	8	0.07733504779536986
wNMF-based	13	9	0.07616836044903444
Average-based	14	0	0.07486083145549413
Average-based	14	1	0.07411862107144634
Average-based	14	2	0.08005093359315126
Average-based	14	3	0.07028327795641744
Average-based	14	4	0.07674179760516552
Average-based	14	5	0.07457592011335898
Average-based	14	6	0.07478195085910506
Average-based	14	7	0.07213842017246432
Average-based	14	8	0.06956354026639858
Average-based	14	9	0.07484301003494319
Onehot-based	14	0	0.08944567484001437
Onehot-based	14	1	0.08839005703191832
Onehot-based	14	2	0.09446345207206482
Onehot-based	14	3	0.09058391712823395
Onehot-based	14	4	0.09180291240242765
Onehot-based	14	5	0.09199441912039746
Onehot-based	14	6	0.08954080982332928
Onehot-based	14	7	0.08964084134190568
Onehot-based	14	8	0.0900858177644253
Onehot-based	14	9	0.09273609945062516
wNMF-based	14	0	0.06844724037429992
wNMF-based	14	1	0.0790037235211199
wNMF-based	14	2	0.07773653334047585
wNMF-based	14	3	0.07401453983992758
wNMF-based	14	4	0.07264308889630125
wNMF-based	14	5	0.08124817022739103
wNMF-based	14	6	0.07033450277158047
wNMF-based	14	7	0.07527070218634992
wNMF-based	14	8	0.0745645148442382
