method	n_cluster	seed	ari_value
Average-based	10	0	0.2666704406015307
Average-based	10	1	0.2666704406015307
Average-based	10	2	0.26696351755543957
Average-based	10	3	0.2658550892298171
Average-based	10	4	0.2666704406015307
Average-based	10	5	0.2654828325342633
Average-based	10	6	0.2675321566198443
Average-based	10	7	0.2666704406015307
Average-based	10	8	0.267085046598551
Average-based	10	9	0.2679114402537848
Onehot-based	10	0	0.2507134741725547
Onehot-based	10	1	0.2636099454845693
Onehot-based	10	2	0.26321129870208343
Onehot-based	10	3	0.2643615703115944
Onehot-based	10	4	0.2629282225067471
Onehot-based	10	5	0.26523613423315656
Onehot-based	10	6	0.2517294643614853
Onehot-based	10	7	0.2625193328396544
Onehot-based	10	8	0.26321129870208343
Onehot-based	10	9	0.2636099454845693
wNMF-based	10	0	0.2552006277090309
wNMF-based	10	1	0.25935995569246084
wNMF-based	10	2	0.260193721011574
wNMF-based	10	3	0.25470697425386196
wNMF-based	10	4	0.24986588256572537
wNMF-based	10	5	0.25616159328382615
wNMF-based	10	6	0.25958436680946206
wNMF-based	10	7	0.25720376090723324
wNMF-based	10	8	0.2598155397334299
wNMF-based	10	9	0.2554819250383247
Average-based	11	0	0.23005101300386346
Average-based	11	1	0.24112712485171947
Average-based	11	2	0.21792478869422846
Average-based	11	3	0.23866667472144285
Average-based	11	4	0.226425472333584
Average-based	11	5	0.2412461942599105
Average-based	11	6	0.218567432096706
Average-based	11	7	0.24085028818770116
Average-based	11	8	0.23828001980744637
Average-based	11	9	0.2195483301052868
Onehot-based	11	0	0.23510425070732044
Onehot-based	11	1	0.23346596759861954
Onehot-based	11	2	0.26591814390676366
Onehot-based	11	3	0.23293987041157946
Onehot-based	11	4	0.23673612115102774
Onehot-based	11	5	0.23595220419489965
Onehot-based	11	6	0.23757845649499218
Onehot-based	11	7	0.23889597431876514
Onehot-based	11	8	0.2649989497946958
Onehot-based	11	9	0.2624513573180182
wNMF-based	11	0	0.23724090432807682
wNMF-based	11	1	0.25926234375294277
wNMF-based	11	2	0.25833971157098923
wNMF-based	11	3	0.25730400651210694
wNMF-based	11	4	0.26023852904814593
wNMF-based	11	5	0.23928830754772223
wNMF-based	11	6	0.23668323652681317
wNMF-based	11	7	0.2579662240959002
wNMF-based	11	8	0.2573012314814953
wNMF-based	11	9	0.2578000171250111
Average-based	12	0	0.21297111384626427
Average-based	12	1	0.20942917659521956
Average-based	12	2	0.21679382726553273
Average-based	12	3	0.2167237927736601
Average-based	12	4	0.21286170091343953
Average-based	12	5	0.20893807941646597
Average-based	12	6	0.21309049215726455
Average-based	12	7	0.21728539925411205
Average-based	12	8	0.2167237927736601
Average-based	12	9	0.21279819361430474
Onehot-based	12	0	0.2061795505959991
Onehot-based	12	1	0.19830279588730917
Onehot-based	12	2	0.20611937554667834
Onehot-based	12	3	0.2316200322339311
Onehot-based	12	4	0.20624641532107163
Onehot-based	12	5	0.19596587243949423
Onehot-based	12	6	0.2342924948391683
Onehot-based	12	7	0.24309879071652474
Onehot-based	12	8	0.2032291469322954
Onehot-based	12	9	0.209136282045211
wNMF-based	12	0	0.19860918429705496
wNMF-based	12	1	0.20591567311850573
wNMF-based	12	2	0.20500564181513573
wNMF-based	12	3	0.2057506660869522
wNMF-based	12	4	0.2067681182232924
wNMF-based	12	5	0.20690831961654105
wNMF-based	12	6	0.20334902405344674
wNMF-based	12	7	0.20319050390100754
wNMF-based	12	8	0.20939439111258176
wNMF-based	12	9	0.20236833769232881
Average-based	13	0	0.22075723733087935
Average-based	13	1	0.21920516461971615
Average-based	13	2	0.22065034377589318
Average-based	13	3	0.22090071451346652
Average-based	13	4	0.22072734047947865
Average-based	13	5	0.22117130783022043
Average-based	13	6	0.22292102016374862
Average-based	13	7	0.2207770739430152
Average-based	13	8	0.21735019140550582
Average-based	13	9	0.22072734047947865
Onehot-based	13	0	0.21547895451488933
Onehot-based	13	1	0.21570035334475043
Onehot-based	13	2	0.21191074194961376
Onehot-based	13	3	0.21657396624647757
Onehot-based	13	4	0.21375846076168634
Onehot-based	13	5	0.22044401857419632
Onehot-based	13	6	0.21542494608367194
Onehot-based	13	7	0.2458248870365878
Onehot-based	13	8	0.21538755292647982
Onehot-based	13	9	0.21085469739354623
wNMF-based	13	0	0.20512972045988773
wNMF-based	13	1	0.20480193477313718
wNMF-based	13	2	0.20301989920545224
wNMF-based	13	3	0.20722626455359588
wNMF-based	13	4	0.20231389801174454
wNMF-based	13	5	0.21929048236417756
wNMF-based	13	6	0.22199781561529633
wNMF-based	13	7	0.22209086070573628
wNMF-based	13	8	0.2201157390236389
wNMF-based	13	9	0.2004756806586467
Average-based	14	0	0.2101969567427847
Average-based	14	1	0.2090581305185942
Average-based	14	2	0.210962684760866
Average-based	14	3	0.21010554785344174
Average-based	14	4	0.2079871400189465
Average-based	14	5	0.22497513121565313
Average-based	14	6	0.2101969567427847
Average-based	14	7	0.2086394435032893
Average-based	14	8	0.22172067446196597
Average-based	14	9	0.22172067446196597
Onehot-based	14	0	0.22710212472114016
Onehot-based	14	1	0.22964445516301538
Onehot-based	14	2	0.2175584784913483
Onehot-based	14	3	0.21314617383961368
Onehot-based	14	4	0.22779441120352656
Onehot-based	14	5	0.21954055870565006
Onehot-based	14	6	0.21680768169557404
Onehot-based	14	7	0.22131423757043958
Onehot-based	14	8	0.21871845081235294
Onehot-based	14	9	0.2141407553182804
wNMF-based	14	0	0.21200554411920905
