method	n_cluster	seed	ari_value
Average-based	10	0	0.3898303609925385
Average-based	10	1	0.38903187927452837
Average-based	10	2	0.3883608957462959
Average-based	10	3	0.3883608957462959
Average-based	10	4	0.38903187927452837
Average-based	10	5	0.38903187927452837
Average-based	10	6	0.38903187927452837
Average-based	10	7	0.38973240615808313
Average-based	10	8	0.3902132875379823
Average-based	10	9	0.38903187927452837
Onehot-based	10	0	0.36565352076483876
Onehot-based	10	1	0.3431822457293457
Onehot-based	10	2	0.3720559713347756
Onehot-based	10	3	0.36565352076483876
Onehot-based	10	4	0.36704063841834006
Onehot-based	10	5	0.36565352076483876
Onehot-based	10	6	0.36632832577380253
Onehot-based	10	7	0.36565352076483876
Onehot-based	10	8	0.3650952948176388
Onehot-based	10	9	0.37067357548196206
wNMF-based	10	0	0.37436423196174795
wNMF-based	10	1	0.37436423196174795
wNMF-based	10	2	0.37436423196174795
wNMF-based	10	3	0.37436423196174795
wNMF-based	10	4	0.37436423196174795
wNMF-based	10	5	0.37436423196174795
wNMF-based	10	6	0.37436423196174795
wNMF-based	10	7	0.37436423196174795
wNMF-based	10	8	0.37436423196174795
wNMF-based	10	9	0.37436423196174795
Average-based	11	0	0.3957025402749324
Average-based	11	1	0.3951357866317016
Average-based	11	2	0.3951357866317016
Average-based	11	3	0.3957025402749324
Average-based	11	4	0.3951357866317016
Average-based	11	5	0.3957025402749324
Average-based	11	6	0.3951357866317016
Average-based	11	7	0.3957025402749324
Average-based	11	8	0.3951357866317016
Average-based	11	9	0.3951357866317016
Onehot-based	11	0	0.4051631595704079
Onehot-based	11	1	0.3497924880301104
Onehot-based	11	2	0.4070184131305395
Onehot-based	11	3	0.40526128219284124
Onehot-based	11	4	0.3967091036325013
Onehot-based	11	5	0.41209683078650866
Onehot-based	11	6	0.39994082385698665
Onehot-based	11	7	0.39683427885499684
Onehot-based	11	8	0.41092776262388075
Onehot-based	11	9	0.4140914921884069
wNMF-based	11	0	0.33166672273568437
wNMF-based	11	1	0.3316918578953751
wNMF-based	11	2	0.3269703392436206
wNMF-based	11	3	0.3315482719191263
wNMF-based	11	4	0.3301727799426256
wNMF-based	11	5	0.3301727799426256
wNMF-based	11	6	0.3277901404945337
wNMF-based	11	7	0.3315482719191263
wNMF-based	11	8	0.3273721590905062
wNMF-based	11	9	0.3316918578953751
Average-based	12	0	0.396778430234822
Average-based	12	1	0.40186382910235047
Average-based	12	2	0.3981599698466758
Average-based	12	3	0.395457008651143
Average-based	12	4	0.3972657312969711
Average-based	12	5	0.39799290029503814
Average-based	12	6	0.39442212204226146
Average-based	12	7	0.395715722264458
Average-based	12	8	0.3980494036056399
Average-based	12	9	0.3950469939563882
Onehot-based	12	0	0.3566360153641915
Onehot-based	12	1	0.3629624145147843
Onehot-based	12	2	0.34898297692877633
Onehot-based	12	3	0.3493851471894033
Onehot-based	12	4	0.3498000608469964
Onehot-based	12	5	0.3554839750094474
Onehot-based	12	6	0.36641455183095056
Onehot-based	12	7	0.3507718509644854
Onehot-based	12	8	0.3461464441941114
Onehot-based	12	9	0.40922148585719653
wNMF-based	12	0	0.32499165936324126
wNMF-based	12	1	0.32273192886268903
wNMF-based	12	2	0.3248022824991942
wNMF-based	12	3	0.32272381727402516
wNMF-based	12	4	0.3225319461082537
wNMF-based	12	5	0.3245270302237109
wNMF-based	12	6	0.32273192886268903
wNMF-based	12	7	0.3248022824991942
wNMF-based	12	8	0.3227521076174624
wNMF-based	12	9	0.3248022824991942
Average-based	13	0	0.37262192220170626
Average-based	13	1	0.3730358649556739
Average-based	13	2	0.37193334124173044
Average-based	13	3	0.3722410316704235
Average-based	13	4	0.37315745098639774
Average-based	13	5	0.37193334124173044
Average-based	13	6	0.37310847234189043
Average-based	13	7	0.3723784384645622
Average-based	13	8	0.3712256364332614
Average-based	13	9	0.3725804252338928
Onehot-based	13	0	0.34534219653382536
Onehot-based	13	1	0.39224837120026956
Onehot-based	13	2	0.38495342469237215
Onehot-based	13	3	0.34880624146531547
