method	n_cluster	seed	ari_value
Average-based	10	0	0.20222385975694376
Average-based	10	1	0.1968089325452058
Average-based	10	2	0.19811770052907773
Average-based	10	3	0.19330395189856558
Average-based	10	4	0.19944340579748618
Average-based	10	5	0.19857073528804003
Average-based	10	6	0.2032869076361797
Average-based	10	7	0.20157723505181735
Average-based	10	8	0.19380590736965528
Average-based	10	9	0.20122797984825458
Onehot-based	10	0	0.19426160487616936
Onehot-based	10	1	0.1900922637997765
Onehot-based	10	2	0.19844544601118103
Onehot-based	10	3	0.2018444576130794
Onehot-based	10	4	0.19098218139375586
Onehot-based	10	5	0.201049822957251
Onehot-based	10	6	0.19717413998406008
Onehot-based	10	7	0.1957551206978908
Onehot-based	10	8	0.20102968148003997
Onehot-based	10	9	0.19695598850856041
wNMF-based	10	0	0.199194008959166
wNMF-based	10	1	0.19893898033123483
wNMF-based	10	2	0.19816606117839067
wNMF-based	10	3	0.19804281377163893
wNMF-based	10	4	0.19825540957677695
wNMF-based	10	5	0.1982911418605141
wNMF-based	10	6	0.19819369087754982
wNMF-based	10	7	0.1990292274786777
wNMF-based	10	8	0.1980868020876954
wNMF-based	10	9	0.19893898033123483
Average-based	11	0	0.20049254021752688
Average-based	11	1	0.19958653981743416
Average-based	11	2	0.20066852759024886
Average-based	11	3	0.20060430569870452
Average-based	11	4	0.19762263506752223
Average-based	11	5	0.20024270599390087
Average-based	11	6	0.2003737987826976
Average-based	11	7	0.20112651918533586
Average-based	11	8	0.2003737987826976
Average-based	11	9	0.19997657170043018
Onehot-based	11	0	0.19563927423287614
Onehot-based	11	1	0.19624986847657713
Onehot-based	11	2	0.19915923544621786
Onehot-based	11	3	0.20004859406413472
Onehot-based	11	4	0.19569902919979223
Onehot-based	11	5	0.19547617755584576
Onehot-based	11	6	0.2077309807655755
Onehot-based	11	7	0.19571570867063862
Onehot-based	11	8	0.20070342304856403
Onehot-based	11	9	0.19873120090387073
wNMF-based	11	0	0.21071096952120916
wNMF-based	11	1	0.2131432028447032
wNMF-based	11	2	0.19077644283337325
wNMF-based	11	3	0.21383751485832975
wNMF-based	11	4	0.1856082127843905
wNMF-based	11	5	0.19808080127310693
wNMF-based	11	6	0.19145751179135903
wNMF-based	11	7	0.19249405328382183
wNMF-based	11	8	0.18809732355387415
wNMF-based	11	9	0.18706457229273993
Average-based	12	0	0.20072429022256869
Average-based	12	1	0.19639495200886103
Average-based	12	2	0.17749367865925325
Average-based	12	3	0.2057000242914544
Average-based	12	4	0.19729074919501596
Average-based	12	5	0.19774302448882491
Average-based	12	6	0.20762199102209883
Average-based	12	7	0.2057000242914544
Average-based	12	8	0.20407896684733123
Average-based	12	9	0.19545706730382548
Onehot-based	12	0	0.17945314470038995
Onehot-based	12	1	0.19756567332860434
Onehot-based	12	2	0.1990275976235592
Onehot-based	12	3	0.1947312605760539
Onehot-based	12	4	0.19366596210316983
Onehot-based	12	5	0.18003937146540483
Onehot-based	12	6	0.18701728479797655
Onehot-based	12	7	0.2046248378087034
Onehot-based	12	8	0.1961368936926333
Onehot-based	12	9	0.1893793001164342
wNMF-based	12	0	0.18420095075978407
wNMF-based	12	1	0.1874652552669872
wNMF-based	12	2	0.18403846713821884
wNMF-based	12	3	0.1868116426829186
wNMF-based	12	4	0.194659579033475
wNMF-based	12	5	0.18834051819218411
wNMF-based	12	6	0.18210568009167394
wNMF-based	12	7	0.18431748055185024
wNMF-based	12	8	0.1856795040949993
wNMF-based	12	9	0.1839321374280706
Average-based	13	0	0.17666626391996462
Average-based	13	1	0.18000049941670548
Average-based	13	2	0.18882769769204277
Average-based	13	3	0.17981855934452093
Average-based	13	4	0.17538053963454303
Average-based	13	5	0.1776392204032876
Average-based	13	6	0.17984317947610498
Average-based	13	7	0.19799683409342184
Average-based	13	8	0.17989893551887143
Average-based	13	9	0.17984317947610498
Onehot-based	13	0	0.19270241703965124
Onehot-based	13	1	0.16487418769110979
Onehot-based	13	2	0.18207562886420256
Onehot-based	13	3	0.16609456177402482
Onehot-based	13	4	0.19756717513893746
Onehot-based	13	5	0.18406335769195314
Onehot-based	13	6	0.19742896727416212
Onehot-based	13	7	0.19735316111051904
Onehot-based	13	8	0.17418986421273897
Onehot-based	13	9	0.19375363806670726
wNMF-based	13	0	0.19114495146814206
wNMF-based	13	1	0.18753429759703724
wNMF-based	13	2	0.1922181586328877
wNMF-based	13	3	0.18242662678827692
wNMF-based	13	4	0.19019358445988888
wNMF-based	13	5	0.18611372566099232
wNMF-based	13	6	0.19240826681787832
wNMF-based	13	7	0.181299118196009
wNMF-based	13	8	0.18858089966646158
wNMF-based	13	9	0.18486026957073465
Average-based	14	0	0.1804941028060841
Average-based	14	1	0.18260362389368384
Average-based	14	2	0.18472229259284917
Average-based	14	3	0.1834189976425069
Average-based	14	4	0.18456277374280491
Average-based	14	5	0.18502539844856772
Average-based	14	6	0.18870413855925688
Average-based	14	7	0.1865959408819032
Average-based	14	8	0.188242566353516
Average-based	14	9	0.1833876260494009
Onehot-based	14	0	0.17991898209373977
Onehot-based	14	1	0.19127568872095396
Onehot-based	14	2	0.17787243467346026
Onehot-based	14	3	0.20554834908811154
Onehot-based	14	4	0.20563606494320777
Onehot-based	14	5	0.1962336189353549
Onehot-based	14	6	0.20127294396196932
Onehot-based	14	7	0.20659422949076642
Onehot-based	14	8	0.1910066135502708
Onehot-based	14	9	0.20064018283913512
wNMF-based	14	0	0.19167276091032512
wNMF-based	14	1	0.18554461108420975
wNMF-based	14	2	0.1836833344706375
wNMF-based	14	3	0.18558743345741135
wNMF-based	14	4	0.18327557826210994
wNMF-based	14	5	0.18638880335938351
wNMF-based	14	6	0.19409288093706226
wNMF-based	14	7	0.18733420354482222
wNMF-based	14	8	0.1918551528198353
wNMF-based	14	9	0.18691718648292668
Average-based	15	0	0.19703488709074024
Average-based	15	1	0.1858247827116911
