"","x"
"1","Smc"
"2","Smc"
"3","Endo"
"4","Astro"
"5","Astro"
"6","Endo"
"7","Endo"
"8","Smc"
"9","Endo"
"10","Astro"
"11","Smc"
"12","Endo"
"13","Endo"
"14","Endo"
"15","Endo"
"16","Smc"
"17","Astro"
"18","Endo"
"19","Endo"
"20","eL6-2"
"21","Endo"
"22","Endo"
"23","Endo"
"24","Endo"
"25","Smc"
"26","Endo"
"27","Endo"
"28","Endo"
"29","Endo"
"30","Oligo"
"31","Smc"
"32","Astro"
"33","Astro"
"34","Endo"
"35","Endo"
"36","Endo"
"37","Endo"
"38","Astro"
"39","Endo"
"40","Smc"
"41","Smc"
"42","Smc"
"43","Smc"
"44","Smc"
"45","Smc"
"46","Endo"
"47","Smc"
"48","Smc"
"49","Endo"
"50","Smc"
"51","Smc"
"52","Smc"
"53","Astro"
"54","Astro"
"55","Smc"
"56","Endo"
"57","Endo"
"58","Endo"
"59","Astro"
"60","Smc"
"61","Smc"
"62","Smc"
"63","Smc"
"64","Smc"
"65","Smc"
"66","Smc"
"67","Astro"
"68","Oligo"
"69","Smc"
"70","Astro"
"71","eL5-3"
"72","Smc"
"73","Astro"
"74","Reln"
"75","Smc"
"76","Oligo"
"77","Smc"
"78","Astro"
"79","Reln"
"80","Reln"
"81","Reln"
"82","Reln"
"83","VIP"
"84","eL2/3"
"85","NPY"
"86","Smc"
"87","eL5-2"
"88","eL5-2"
"89","Smc"
"90","eL2/3"
"91","eL2/3"
"92","eL2/3"
"93","Smc"
"94","Oligo"
"95","Smc"
"96","Astro"
"97","eL2/3"
"98","Astro"
"99","eL2/3"
"100","eL2/3"
"101","eL2/3"
"102","eL5-3"
"103","eL2/3"
"104","eL2/3"
"105","Lhx6"
"106","L5-1"
"107","VIP"
"108","eL2/3"
"109","L5-1"
"110","Reln"
"111","Smc"
"112","eL2/3"
"113","eL2/3"
"114","Reln"
"115","eL2/3"
"116","L5-1"
"117","eL2/3"
"118","Smc"
"119","eL2/3"
"120","L5-1"
"121","VIP"
"122","Smc"
"123","VIP"
"124","eL2/3"
"125","eL5-2"
"126","eL5-2"
"127","eL2/3"
"128","eL2/3"
"129","eL2/3"
"130","eL2/3"
"131","NPY"
"132","eL5-2"
"133","Smc"
"134","eL2/3"
"135","Smc"
"136","eL2/3"
"137","Lhx6"
"138","eL2/3"
"139","eL2/3"
"140","eL2/3"
"141","NPY"
"142","Astro"
"143","eL2/3"
"144","eL2/3"
"145","eL2/3"
"146","eL2/3"
"147","eL2/3"
"148","eL2/3"
"149","eL2/3"
"150","eL2/3"
"151","eL2/3"
"152","eL5-3"
"153","eL2/3"
"154","L5-1"
"155","eL2/3"
"156","Smc"
"157","VIP"
"158","eL2/3"
"159","eL2/3"
"160","L5-1"
"161","eL2/3"
"162","eL2/3"
"163","eL2/3"
"164","eL2/3"
"165","eL5-2"
"166","eL2/3"
"167","eL2/3"
"168","eL2/3"
"169","eL2/3"
"170","eL2/3"
"171","VIP"
"172","eL2/3"
"173","eL2/3"
"174","eL2/3"
"175","Astro"
"176","Astro"
"177","eL2/3"
"178","eL2/3"
"179","Smc"
"180","L5-1"
"181","eL2/3"
"182","eL2/3"
"183","eL2/3"
"184","eL2/3"
"185","eL2/3"
"186","eL2/3"
"187","eL2/3"
"188","NPY"
"189","eL2/3"
"190","eL2/3"
"191","eL2/3"
"192","eL2/3"
"193","Reln"
"194","eL2/3"
"195","eL2/3"
"196","eL2/3"
"197","eL2/3"
"198","Astro"
"199","eL2/3"
"200","eL2/3"
"201","eL2/3"
"202","eL5-3"
"203","eL2/3"
"204","eL2/3"
"205","eL2/3"
"206","eL2/3"
"207","Smc"
"208","Smc"
"209","Smc"
"210","eL2/3"
"211","eL5-3"
"212","eL2/3"
"213","Astro"
"214","L5-1"
"215","eL2/3"
"216","Smc"
"217","eL2/3"
"218","Smc"
"219","eL2/3"
"220","Smc"
"221","Oligo"
"222","eL2/3"
"223","eL5-3"
"224","eL2/3"
"225","eL2/3"
"226","Reln"
"227","eL2/3"
"228","eL5-3"
"229","eL2/3"
"230","eL2/3"
"231","Smc"
"232","eL2/3"
"233","eL2/3"
"234","eL2/3"
"235","L5-1"
"236","eL2/3"
"237","eL2/3"
"238","eL2/3"
"239","Astro"
"240","eL5-2"
"241","eL2/3"
"242","Smc"
"243","NPY"
"244","L5-1"
"245","eL2/3"
"246","eL2/3"
"247","L5-1"
"248","Smc"
"249","eL5-3"
"250","eL2/3"
"251","eL2/3"
"252","Endo"
"253","eL2/3"
"254","L5-1"
"255","eL2/3"
"256","eL2/3"
"257","Lhx6"
"258","Smc"
"259","NPY"
"260","L5-1"
"261","eL2/3"
"262","Smc"
"263","Smc"
"264","eL5-2"
"265","L5-1"
"266","eL2/3"
"267","L5-1"
"268","Smc"
"269","eL5-2"
"270","eL5-3"
"271","eL2/3"
"272","eL2/3"
"273","L5-1"
"274","eL2/3"
"275","Smc"
"276","L5-1"
"277","Smc"
"278","eL5-2"
"279","L5-1"
"280","eL5-3"
"281","Endo"
"282","L5-1"
"283","eL5-2"
"284","eL5-2"
"285","L5-1"
"286","eL5-2"
"287","eL5-2"
"288","Astro"
"289","L5-1"
"290","Smc"
"291","L5-1"
"292","eL5-2"
"293","L5-1"
"294","eL5-3"
"295","Astro"
"296","L5-1"
"297","eL5-3"
"298","Smc"
"299","eL5-3"
"300","eL5-2"
"301","Lhx6"
"302","eL5-2"
"303","L5-1"
"304","eL5-3"
"305","L5-1"
"306","Endo"
"307","L5-1"
"308","VIP"
"309","L5-1"
"310","Smc"
"311","Astro"
"312","L5-1"
"313","eL5-2"
"314","Astro"
"315","Astro"
"316","eL5-2"
"317","L5-1"
"318","Astro"
"319","Oligo"
"320","eL5-3"
"321","eL2/3"
"322","Smc"
"323","Smc"
"324","eL5-3"
"325","eL5-2"
"326","eL5-2"
"327","L5-1"
"328","eL2/3"
"329","Lhx6"
"330","eL5-3"
"331","L5-1"
"332","L5-1"
"333","L5-1"
"334","Smc"
"335","eL5-2"
"336","L5-1"
"337","eL5-3"
"338","eL5-3"
"339","eL5-3"
"340","L5-1"
"341","eL5-3"
"342","eL5-3"
"343","L5-1"
"344","eL5-2"
"345","eL5-3"
"346","eL5-3"
"347","eL5-3"
"348","L5-1"
"349","L5-1"
"350","eL5-3"
"351","eL5-3"
"352","eL5-3"
"353","Smc"
"354","eL5-3"
"355","eL5-3"
"356","L5-1"
"357","L5-1"
"358","eL5-3"
"359","Smc"
"360","NPY"
"361","eL5-3"
"362","eL5-3"
"363","eL5-3"
"364","L5-1"
"365","eL5-3"
"366","Astro"
"367","eL5-3"
"368","eL5-3"
"369","L5-1"
"370","eL5-2"
"371","Endo"
"372","Astro"
"373","eL5-3"
"374","eL5-3"
"375","Astro"
"376","eL5-2"
"377","L5-1"
"378","L5-1"
"379","eL5-3"
"380","VIP"
"381","Astro"
"382","L5-1"
"383","eL5-3"
"384","eL5-3"
"385","eL5-3"
"386","eL5-3"
"387","eL5-3"
"388","eL5-2"
"389","eL5-3"
"390","eL5-2"
"391","L5-1"
"392","eL5-3"
"393","eL5-3"
"394","Smc"
"395","L5-1"
"396","L5-1"
"397","eL5-3"
"398","eL5-3"
"399","eL5-3"
"400","eL5-3"
"401","Endo"
"402","L5-1"
"403","eL6-2"
"404","L5-1"
"405","Smc"
"406","eL5-2"
"407","Endo"
"408","Smc"
"409","eL5-3"
"410","eL5-2"
"411","eL5-3"
"412","eL5-3"
"413","Endo"
"414","L5-1"
"415","eL5-3"
"416","eL5-3"
"417","Astro"
"418","Smc"
"419","SST"
"420","Astro"
"421","eL5-3"
"422","Smc"
"423","eL5-3"
"424","L5-1"
"425","eL5-3"
"426","Smc"
"427","Smc"
"428","Lhx6"
"429","eL5-3"
"430","eL5-3"
"431","eL5-3"
"432","L5-1"
"433","eL5-3"
"434","Astro"
"435","eL6-1"
"436","L5-1"
"437","eL5-3"
"438","Smc"
"439","eL5-3"
"440","eL6-1"
"441","L5-1"
"442","L5-1"
"443","eL5-3"
"444","L5-1"
"445","eL5-3"
"446","eL5-3"
"447","eL5-3"
"448","eL5-3"
"449","eL5-3"
"450","Smc"
"451","eL5-3"
"452","L5-1"
"453","eL5-3"
"454","eL5-3"
"455","eL2/3"
"456","Oligo"
"457","L5-1"
"458","L5-1"
"459","eL5-2"
"460","L5-1"
"461","VIP"
"462","SST"
"463","eL5-3"
"464","eL5-3"
"465","VIP"
"466","L5-1"
"467","eL5-2"
"468","eL5-3"
"469","Smc"
"470","eL5-3"
"471","L5-1"
"472","Lhx6"
"473","eL5-3"
"474","eL6-2"
"475","NPY"
"476","Astro"
"477","Smc"
"478","eL5-3"
"479","eL5-3"
"480","Lhx6"
"481","Astro"
"482","eL5-3"
"483","L5-1"
"484","eL5-3"
"485","Astro"
"486","Lhx6"
"487","SST"
"488","Endo"
"489","eL6-1"
"490","Lhx6"
"491","SST"
"492","Smc"
"493","eL5-3"
"494","L5-1"
"495","eL5-2"
"496","Smc"
"497","L5-1"
"498","Smc"
"499","Oligo"
"500","L5-1"
"501","Smc"
"502","L5-1"
"503","eL6-1"
"504","eL5-2"
"505","eL6-1"
"506","Oligo"
"507","VIP"
"508","Smc"
"509","L5-1"
"510","eL6-2"
"511","eL6-2"
"512","eL5-3"
"513","L5-1"
"514","eL5-3"
"515","eL6-2"
"516","SST"
"517","Astro"
"518","Smc"
"519","L5-1"
"520","eL5-2"
"521","eL5-2"
"522","Astro"
"523","L5-1"
"524","Astro"
"525","NPY"
"526","eL5-3"
"527","eL5-3"
"528","Astro"
"529","NPY"
"530","L5-1"
"531","L5-1"
"532","Lhx6"
"533","eL5-3"
"534","eL5-3"
"535","L5-1"
"536","eL5-3"
"537","eL5-3"
"538","eL5-3"
"539","eL5-3"
"540","eL6-1"
"541","eL6-1"
