"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",6,1,14,6,4,15,14,8,4,9
"2",10,18,14,17,4,15,14,8,4,9
"3",14,14,10,4,6,3,6,19,17,18
"4",18,7,16,14,10,18,7,12,3,3
"5",6,1,14,6,4,15,14,8,4,9
"6",18,7,16,14,10,18,7,12,3,3
"7",18,7,16,14,10,18,7,12,3,3
"8",6,1,14,6,4,15,14,8,4,9
"9",12,17,14,6,5,7,19,9,10,2
"10",6,1,14,6,4,15,14,8,4,9
"11",6,1,14,6,4,15,14,8,4,9
"12",10,18,14,17,4,15,14,8,4,9
"13",6,1,14,6,4,15,14,8,4,9
"14",6,1,14,6,4,15,14,8,4,9
"15",6,1,14,6,4,15,14,8,4,9
"16",6,1,14,6,4,15,14,8,4,9
"17",11,1,14,6,4,15,14,8,4,9
"18",6,1,14,6,4,15,14,8,4,9
"19",11,10,9,11,9,17,12,13,1,8
"20",6,1,14,6,4,15,14,8,4,9
"21",6,1,14,6,4,4,13,15,4,9
"22",18,7,16,14,10,18,7,12,3,3
"23",11,1,12,6,4,15,14,8,4,9
"24",6,1,14,6,4,15,14,8,4,9
"25",10,18,14,17,11,10,8,6,12,19
"26",11,10,9,11,9,17,12,13,1,8
"27",11,1,14,6,4,15,14,8,4,9
"28",2,12,19,2,15,11,18,16,15,16
"29",6,1,14,5,4,4,13,15,4,19
"30",18,7,16,14,10,18,7,12,3,3
"31",6,1,14,6,4,15,14,8,4,9
"32",11,1,12,6,4,15,14,8,6,9
"33",9,12,19,2,15,11,18,16,15,16
"34",11,10,9,11,9,17,12,13,1,8
"35",6,1,14,6,4,15,14,8,4,9
"36",11,10,9,11,9,17,12,13,1,8
"37",11,10,9,11,9,17,12,13,1,8
"38",11,10,9,11,9,17,12,13,1,8
"39",11,1,12,6,4,15,14,8,4,9
"40",6,1,14,6,4,15,14,8,4,9
"41",11,1,12,6,4,15,14,8,4,9
"42",11,10,9,11,9,17,12,13,1,8
"43",11,10,9,11,9,17,12,13,1,8
"44",9,12,19,2,15,11,18,16,15,16
"45",4,17,9,15,9,6,16,7,1,8
"46",9,12,19,2,15,11,18,16,15,16
"47",11,10,9,11,9,17,12,13,1,8
"48",11,10,9,11,9,17,12,13,1,8
"49",11,10,9,11,9,17,12,13,1,8
"50",11,1,12,6,4,15,14,8,4,9
"51",11,1,12,6,4,15,14,8,4,9
"52",11,10,9,11,9,17,12,13,1,8
"53",9,12,19,2,15,11,18,16,15,16
"54",11,1,12,6,4,15,14,8,4,9
"55",11,1,12,11,9,15,12,13,1,8
"56",11,10,9,11,9,17,12,13,1,8
"57",11,10,9,11,9,17,12,13,1,8
"58",11,10,9,11,9,17,12,13,1,8
"59",11,10,9,11,9,17,12,13,1,8
"60",9,12,19,2,15,11,18,16,15,16
"61",4,10,9,11,9,6,12,13,1,8
"62",11,10,9,11,9,17,12,13,1,8
"63",11,10,9,11,9,17,12,13,1,8
"64",11,1,12,6,4,15,14,8,4,9
"65",11,10,9,11,9,17,12,13,1,8
"66",12,8,13,15,9,6,12,13,1,8
"67",11,10,9,11,9,17,12,13,1,8
"68",11,10,9,11,9,17,12,13,1,8
"69",11,10,9,11,9,17,12,13,1,8
"70",11,10,9,11,10,18,7,13,3,8
"71",11,10,9,11,9,17,12,13,1,8
"72",17,5,12,6,4,15,14,8,4,9
"73",17,5,12,6,4,15,14,8,4,9
"74",11,10,9,11,9,17,12,13,1,8
"75",11,10,9,11,9,17,12,13,1,8
"76",11,1,14,6,4,15,14,8,4,9
"77",4,16,9,5,18,4,13,19,1,8
"78",11,10,9,11,9,17,12,13,1,17
"79",12,17,13,15,7,6,16,7,6,8
"80",11,10,9,11,9,17,12,13,1,8
"81",12,17,13,11,9,17,12,13,1,8
