sample	seed	ari_value
20180417_BZ5_control	1	0.06424994771345988
20180417_BZ5_control	2	0.10084987699314141
20180417_BZ5_control	3	0.07088028267935169
20180417_BZ5_control	4	0.058727488957233266
20180417_BZ5_control	5	0.06831067864667544
20180417_BZ5_control	6	0.07046845465510664
20180417_BZ5_control	7	0.07917839348786579
20180417_BZ5_control	8	0.07525935431747437
20180417_BZ5_control	9	0.07386876585279577
20180417_BZ5_control	10	0.09439434801643236
20180419_BZ9_control	1	0.14277838072621077
20180419_BZ9_control	2	0.11452354753085459
20180419_BZ9_control	3	0.17271883664491552
20180419_BZ9_control	4	0.1558440877896867
20180419_BZ9_control	5	0.1620175998445503
20180419_BZ9_control	6	0.1181509431391814
20180419_BZ9_control	7	0.13143614919864754
20180419_BZ9_control	8	0.1528250507664868
20180419_BZ9_control	9	0.130882716201369
20180419_BZ9_control	10	0.1323433480462361
20180424_BZ14_control	1	0.07753162462271325
20180424_BZ14_control	2	0.1008204296139339
20180424_BZ14_control	3	0.09013403490316324
20180424_BZ14_control	4	0.08053706113824187
20180424_BZ14_control	5	0.08877754152927475
20180424_BZ14_control	6	0.09436790357019395
20180424_BZ14_control	7	0.07341775525850532
20180424_BZ14_control	8	0.1006989886144883
20180424_BZ14_control	9	0.07332177308116485
20180424_BZ14_control	10	0.08266798588877619
