sample	seed	ari_value
20180417_BZ5_control	0	0.2266728852087891
20180417_BZ5_control	1	0.21878318946721084
20180417_BZ5_control	2	0.21227683892499807
20180417_BZ5_control	3	0.18980360293898085
20180417_BZ5_control	4	0.22383546005604202
20180417_BZ5_control	5	0.20875985176768516
20180417_BZ5_control	6	0.1833800067044005
20180417_BZ5_control	7	0.20185056244329114
20180417_BZ5_control	8	0.22767560521325092
20180417_BZ5_control	9	0.23273287611002538
20180419_BZ9_control	0	0.2326289168054742
20180419_BZ9_control	1	0.2557103644689182
20180419_BZ9_control	2	0.2735439594754163
20180419_BZ9_control	3	0.2632838739215712
20180419_BZ9_control	4	0.2404481624469821
20180419_BZ9_control	5	0.25727400884203966
20180419_BZ9_control	6	0.2542058681009492
20180419_BZ9_control	7	0.2680832738971205
20180419_BZ9_control	8	0.2718360066574025
20180419_BZ9_control	9	0.2626598124533218
20180424_BZ14_control	0	0.20147031250371672
20180424_BZ14_control	1	0.2046480574576607
20180424_BZ14_control	2	0.15518515355789136
20180424_BZ14_control	3	0.22901790482393553
20180424_BZ14_control	4	0.21250597524493273
20180424_BZ14_control	5	0.20642787740083976
20180424_BZ14_control	6	0.22017640249600345
20180424_BZ14_control	7	0.1966584996327724
20180424_BZ14_control	8	0.21835280922064706
20180424_BZ14_control	9	0.21894965371240224
