,20180417_BZ5_control_0,20180417_BZ5_control_1,20180417_BZ5_control_2,20180417_BZ5_control_3,20180417_BZ5_control_4,20180417_BZ5_control_5,20180417_BZ5_control_6,20180417_BZ5_control_7,20180417_BZ5_control_8,20180417_BZ5_control_9
0,1,9,0,0,0,0,3,1,11,3
1,1,0,0,0,0,0,5,1,1,2
2,1,9,0,11,0,0,3,1,1,3
3,1,9,0,0,0,0,3,1,1,3
4,1,9,0,0,0,0,3,1,1,3
5,12,9,0,11,11,10,3,1,10,3
6,1,9,0,0,0,0,3,1,1,3
7,1,9,0,11,11,10,3,1,1,3
8,12,9,0,11,11,10,3,1,10,3
9,1,9,0,0,0,0,3,1,1,3
10,1,9,0,11,0,0,3,1,11,3
11,12,9,0,11,11,10,3,1,10,3
12,1,9,0,11,0,0,3,1,1,3
13,12,9,0,11,11,10,3,1,10,3
14,12,9,0,11,11,10,3,1,10,3
15,1,9,0,11,0,0,3,1,1,3
16,1,9,0,0,0,0,5,1,1,3
17,12,9,0,11,11,10,3,1,10,3
18,12,9,0,11,11,10,3,1,10,3
19,5,0,1,6,12,9,5,4,8,2
20,12,9,0,11,11,0,3,1,10,3
21,12,9,0,11,11,10,3,1,10,3
22,12,9,0,11,11,10,3,1,10,3
23,12,9,0,11,11,10,3,1,10,3
24,1,9,0,0,0,0,3,1,1,3
25,12,9,0,11,11,0,3,1,1,3
26,12,9,0,11,11,10,3,1,10,3
27,12,9,0,11,11,10,3,1,10,3
28,12,9,0,11,11,10,3,1,10,3
29,1,9,0,0,0,0,5,1,1,3
30,1,9,0,0,0,0,5,1,1,3
31,12,9,0,11,11,10,3,1,10,3
32,1,9,0,0,0,0,3,1,1,3
33,12,9,0,11,11,10,3,1,10,3
34,12,9,0,11,11,10,3,1,10,3
35,12,9,0,11,11,10,3,1,10,3
36,12,9,0,11,11,10,3,1,10,3
37,1,9,0,0,0,0,5,1,1,3
38,12,9,0,11,11,10,3,1,10,3
39,12,9,0,11,11,10,3,1,10,3
40,1,9,0,0,0,0,3,1,11,3
41,12,9,0,11,11,10,3,1,10,3
42,12,9,0,11,11,10,3,1,10,3
43,12,9,0,11,11,10,3,1,10,3
44,12,9,0,11,11,10,3,1,10,3
45,12,9,0,11,11,10,3,1,10,3
46,12,9,0,11,11,10,3,1,10,3
47,1,9,0,0,0,0,3,1,1,3
48,12,9,0,11,11,10,3,1,10,3
49,12,9,0,11,11,10,3,1,10,3
50,12,9,0,11,11,10,3,1,10,3
51,1,0,0,0,0,0,5,1,1,3
52,12,9,0,11,11,10,3,1,10,3
53,12,9,0,11,11,10,3,1,10,3
54,1,9,0,0,0,0,3,1,11,3
55,12,9,0,11,11,10,3,1,10,3
56,12,9,0,11,11,10,3,1,10,3
57,1,9,0,0,0,0,3,1,1,3
58,1,9,0,0,0,0,5,1,1,3
59,12,9,0,11,11,10,3,1,10,3
60,1,9,0,0,0,0,5,1,1,3
61,5,0,0,0,0,0,5,1,1,2
62,1,9,0,0,0,0,5,1,1,3
63,1,9,0,11,11,0,3,1,1,3
64,1,0,0,0,0,0,5,1,1,2
65,1,0,0,10,0,0,5,4,11,2
66,1,9,0,11,11,0,3,1,1,3
67,1,0,0,0,0,0,5,1,1,2
68,1,0,0,0,0,0,5,1,1,2
69,1,0,0,0,0,0,5,1,1,3
70,5,0,9,10,7,0,5,4,8,2
71,1,0,0,0,0,0,5,1,1,3
72,1,0,0,0,0,0,5,1,1,2
73,3,10,10,0,12,7,8,9,1,11
74,1,0,0,0,0,0,5,1,1,3
75,1,0,0,10,7,0,5,1,1,2
76,1,9,0,0,0,0,5,1,1,3
77,1,0,0,0,0,0,5,1,1,3
78,3,10,10,9,12,7,8,9,1,11
79,1,10,0,0,0,0,3,1,11,3
80,1,10,10,0,0,7,3,9,11,11
81,3,10,10,0,12,7,8,9,11,11
82,0,6,5,7,4,4,9,3,5,6
83,0,6,5,7,4,4,9,3,5,6
84,1,9,0,11,11,10,3,1,11,3
85,1,9,0,11,11,0,3,1,11,3
86,5,6,5,0,0,0,2,1,5,6
87,1,9,0,11,11,0,3,1,11,3
88,1,9,0,0,0,0,3,1,11,3
89,5,0,5,9,4,4,5,3,1,2
90,0,6,5,7,4,4,9,3,5,6
91,0,6,5,7,4,4,9,3,5,6
92,1,0,0,0,0,0,5,1,1,2
93,1,0,0,0,0,0,5,1,1,2
94,1,0,0,0,0,0,5,1,1,2
95,3,0,0,0,0,0,5,1,1,2
96,6,6,5,7,4,2,9,2,5,6
97,1,9,0,0,0,0,5,1,1,2
98,0,6,5,7,4,4,2,3,6,2
99,6,3,5,9,3,2,9,2,3,0
100,0,6,5,7,4,4,9,3,5,6
101,1,0,0,0,0,0,5,1,1,2
102,0,6,5,7,4,4,9,3,5,5
103,6,3,4,4,3,2,9,2,5,0
104,1,0,0,0,0,0,8,1,1,2
105,1,0,0,0,0,0,5,1,1,2
106,0,10,5,7,4,4,9,3,5,11
107,0,6,5,7,4,4,9,3,5,6
108,5,6,5,1,8,0,6,3,3,6
109,3,10,10,0,12,7,8,9,1,11
110,1,9,0,0,0,0,2,1,1,2
111,5,3,5,7,4,4,2,2,5,6
112,4,3,5,7,3,2,9,2,5,5
113,3,10,10,0,0,7,8,9,1,11
114,0,6,5,7,4,4,9,3,5,6
115,5,0,7,0,0,0,5,3,6,2
116,0,6,5,7,4,4,9,3,5,6
117,1,9,0,0,0,0,3,1,11,2
118,4,6,5,1,4,4,9,2,5,5
119,0,4,7,3,5,6,6,3,6,5
120,6,3,6,4,3,2,0,2,6,1
121,1,0,0,0,0,0,5,1,1,2
122,6,3,4,4,8,2,8,2,1,11
123,0,6,5,7,4,4,9,3,5,6
124,0,6,5,7,4,4,9,3,5,6
125,6,3,4,4,3,2,2,2,3,0
126,5,6,5,7,12,0,2,3,6,6
127,0,6,5,7,4,4,9,3,5,6
128,0,6,5,7,4,4,9,3,5,6
129,6,3,6,4,3,2,0,2,5,5
130,3,10,10,0,12,7,8,9,8,11
131,6,3,4,4,3,2,6,2,3,0
132,1,0,0,0,0,0,5,1,1,2
133,5,0,5,7,4,4,2,3,1,2
134,5,0,0,9,0,4,2,3,1,2
135,0,6,5,7,4,4,9,3,5,6
136,1,0,0,0,0,0,5,4,1,2
137,0,6,5,7,4,4,9,3,5,6
138,0,6,5,7,4,4,9,3,5,6
139,0,3,5,7,4,4,9,2,5,6
140,3,10,10,0,12,7,8,9,1,11
141,1,0,0,0,0,0,5,4,1,2
142,8,6,5,7,4,4,9,3,5,6
143,0,6,5,7,4,4,9,3,5,6
144,0,6,5,7,4,4,9,3,5,6
145,0,0,2,7,4,4,2,3,6,5
146,0,6,5,7,4,4,9,3,5,6
147,0,6,5,7,4,4,9,3,5,6
148,0,6,5,7,4,4,9,3,5,6
149,0,6,5,7,4,4,9,3,5,6
150,0,6,5,7,4,4,9,3,5,6
151,0,6,5,7,4,4,6,3,6,6
152,0,5,5,7,4,4,9,3,5,6
153,4,4,4,3,3,3,9,3,3,0
154,0,6,5,7,4,4,9,3,5,6
155,0,6,9,10,7,7,9,4,8,6
