sample	seed	ari_value
20180417_BZ5_control	0	0.2733834377517123
20180417_BZ5_control	1	0.3161025823467875
20180417_BZ5_control	2	0.35988603212216635
20180417_BZ5_control	3	0.2907627301329381
20180417_BZ5_control	4	0.28174331453412305
20180417_BZ5_control	5	0.34413879735189107
20180417_BZ5_control	6	0.4043428013695453
20180417_BZ5_control	7	0.27939673984036845
20180417_BZ5_control	8	0.35135482723928035
20180417_BZ5_control	9	0.34514187912374067
20180419_BZ9_control	0	0.373609236946621
20180419_BZ9_control	1	0.34028628589715293
20180419_BZ9_control	2	0.36815969507395346
20180419_BZ9_control	3	0.334070086530994
20180419_BZ9_control	4	0.37595784757100653
20180419_BZ9_control	5	0.3697681415072263
20180419_BZ9_control	6	0.3778801408706815
20180419_BZ9_control	7	0.3670658577867369
20180419_BZ9_control	8	0.4239633910835049
20180419_BZ9_control	9	0.32649035333840826
20180424_BZ14_control	0	0.44125580296006756
20180424_BZ14_control	1	0.30958130138398093
20180424_BZ14_control	2	0.38739896661689327
20180424_BZ14_control	3	0.32840160523897804
20180424_BZ14_control	4	0.37292459481233325
20180424_BZ14_control	5	0.4342226286197491
20180424_BZ14_control	6	0.4117756906363463
20180424_BZ14_control	7	0.3164144268787497
20180424_BZ14_control	8	0.40968060447356475
20180424_BZ14_control	9	0.3583357248793052
